;aantal
Aa en Hunze;3.454148222309793
Aalburg;1.6053726862456503
Aalsmeer;3.1469704839232975
Aalten;2.6153274172144854
Ter Aar;1.2759155108048308
Abcoude;1.1710629101679173
Achtkarspelen;3.91073743544185
Akersloot;0.6747884497828451
Alblasserdam;2.4785873722935707
Albrandswaard;2.1436995840707596
Alkemade;2.0097444687816353
Alkmaar;12.944352928562378
Almelo;9.1390250796838
Almere;17.64531414702479
Alphen aan den Rijn;9.559549454084168
Alphen-Chaam;1.3068282297177056
Ambt Delden;0.758057845773382
Ambt Montfort;1.5442434808278482
Ameland;0.4798433755575081
Amerongen;1.0174740409746696
Amersfoort;16.78087198931701
Ammerzoden;0.621874786778825
Amstelveen;10.822932781545942
Amsterdam;100.0
Andijk;0.8825442003144186
Angerlo;0.6516735338389837
Anna Paulowna;1.8774603112715849
Apeldoorn;21.21475845609071
Appingedam;1.7081365896587208
Arcen en Velden;1.2612946302379304
Arnhem;18.961750383972173
Assen;7.843893554419614
Asten;2.213183578383933
Avereest;2.0846590758768
Axel;1.6864141385307547
Baarle-Nassau;0.8464793615827312
Baarn;3.397335657821266
Barendrecht;3.4527557574938976
Barneveld;6.526204099137925
Bathmen;0.7297908100107081
Bedum;1.482835782446867
Beek;2.4065969413117854
Beemster;1.156163536637838
Beesel;1.8345723949420107
Belfeld;0.7527664794729799
Bellingwedde;1.3228415751005012
Bemmel;2.331125348290262
Bennebroek;0.7144736970358602
Bergambacht;1.277307975620726
Bergen;1.8633964166310428
Bergen;1.966856552452061
Bergen op Zoom;8.90940763154267
Bergeyk;2.4692578580270723
Bergh;2.5568438949468844
Bergschenhoek;1.3909331045977795
Berkel en Rodenrijs;2.238526438033227
Bernheze;3.9394222106492927
Bernisse;1.7408595128322595
Best;3.465844926763313
Beuningen;3.411817291906577
Beverwijk;4.95759248403191
Het Bildt;1.4043007668303742
De Bilt;4.553777687422283
Binnenmaas;2.643176713532391
Bladel;2.64053103038219
Blaricum;1.3658687379116647
Bleiswijk;1.3676789421723288
Bloemendaal;2.3121878267940863
Boarnsterhim;2.516601661767511
Bodegraven;2.682444221340637
Boekel;1.261155383756341
Ten Boer;1.0077267872634028
Bolsward;1.3004228915645875
Borculo;1.4285296546269517
Borger-Odoorn;3.6004962744603852
Born;2.0520753991848513
Borne;3.0705241655306477
Borsele;3.029585699943327
Boskoop;2.0770005193893764
Boxmeer;3.9676892464119664
Boxtel;4.0811751289074305
Brakel;0.979459751500729
Breda;21.869634659006255
Brederwiede;1.712174737624817
Breukelen;1.9540458761458246
Brielle;2.205942761341278
Broekhuizen;0.268467216504607
Brummen;2.994217093619587
Brunssum;4.2133200399358905
Cranendonck;2.8091585195871063
Bunnik;1.9502862211429073
Bunschoten;2.6706082704055274
Buren;1.4083389147964704
Bussum;4.320400584278237
Capelle aan den IJssel;8.804276537942577
Castricum;3.1881874424737973
Coevorden;4.803585875393893
Cromstrijen;1.7575690906230026
