;aantal
Aa en Hunze;3.4355560020745033
Aalburg;1.6410023867644545
Aalsmeer;3.1007573021687245
Aalten;2.559865971907321
Ter Aar;1.2327543370415526
Abcoude;1.1669078774088264
Achtkarspelen;3.8152932136059152
Alblasserdam;2.5014866365628423
Albrandswaard;2.543845596161627
Alkemade;1.9588303496514892
Alkmaar;12.679177041443898
Almelo;9.738351964939815
Almere;22.415764049733763
Alphen aan den Rijn;9.599463453178416
Alphen-Chaam;1.2779643804594862
Ambt Montfort;1.4926102622725583
Ameland;0.4854988446322238
Amerongen;0.9766998569027455
Amersfoort;17.815336658692683
Amstelveen;10.602637659830402
Amsterdam;100.0
Andijk;0.8675440763981851
Angerlo;0.6780148853728539
Anna Paulowna;1.892576592330313
Apeldoorn;21.144316432289475
Appingedam;1.6925934273014358
Arcen en Velden;1.2148332387497591
Arnhem;19.214675750310228
Assen;8.360056587225516
Asten;2.184609034948857
Baarle-Nassau;0.8834286862477294
Baarn;3.3158104816702467
Barendrecht;4.871280353860232
Barneveld;6.709957885419015
Bathmen;0.7168439316717399
Bedum;1.4775402477999138
Beek;2.3168450177989093
Beemster;1.1588976895359795
Beesel;1.8282235575552366
Bellingwedde;1.3129919816661735
Bennebroek;0.7205096108677885
Bergambacht;1.2527119237755953
Bergeijk;2.4564123590410585
Bergen;1.8278162598667866
Bergen;4.309481075591736
Bergen op Zoom;8.963807527404347
Bergh;2.5002647434974925
Bergschenhoek;2.061605133037002
Berkel en Rodenrijs;2.3368026045329517
Bernheze;3.9165745721337784
Bernisse;1.7258560718581737
Best;3.8345719708592085
Beuningen;3.4431588922589005
Beverwijk;4.943100512923556
Het Bildt;1.4316513749012305
De Bilt;5.7439835343121155
Binnenmaas;2.6081986309367036
Bladel;2.5920424892948595
Blaricum;1.2638447272598914
Bleiswijk;1.4050412592558401
Bloemendaal;2.31412969987591
Boarnsterhim;2.5768367089260646
Bodegraven;2.655852460485336
Boekel;1.2723979787173383
Ten Boer;0.9984224002867377
Bolsward;1.2824446550324347
Borculo;1.4142733401940368
Borger-Odoorn;3.5896502942046973
Borne;2.8037015213926324
Borsele;3.034503544847549
Boskoop;2.0674430665714496
Boxmeer;3.9850005837933535
Boxtel;4.006858893073495
Breda;22.31950602936345
Breukelen;1.9572011588976896
Brielle;2.1721185725030616
Brummen;2.9330864204235354
Brunssum;4.065102462521825
Bunnik;1.9157925605719548
Bunschoten;2.6333153217244445
Buren;3.487690106196084
Bussum;4.244992274920509
Capelle aan den IJssel;8.867956804722482
Castricum;4.79620181328931
Coevorden;4.888658388567426
Cranendonck;2.760935264105398
Cromstrijen;1.7622413320263604
Cuijk;3.3025054238475513
Culemborg;3.579060554305001
Dalfsen;3.568063516716855
Dantumadeel;2.6725516657117803
Delft;13.11335637733144
Delfzijl;3.9334095432563725
Deurne;4.362158243297917
Deventer;11.883045826420588
Didam;2.278694800980773
Diemen;3.264626738821715
Dinkelland;3.529506002210269
Dinxperlo;1.165142920758877
Dirksland;1.1208832386139933
Doesburg;1.5493604068632376
Doetinchem;6.66596973506643
Dongen;3.4142407563789607
Dongeradeel;3.38885253379892
Doorn;1.3839975453525977
Dordrecht;16.297745471528536
Drechterland;1.3839975453525977
Driebergen-Rijsenburg;2.5218515209853347
Drimmelen;3.6313304243227322
Dronten;5.041259255839971
Druten;2.3854067953546343
Duiven;3.552043140971161
Echt-Susteren;4.359035627686468
Edam-Volendam;3.8099983436560674
Ede;14.224328705526487
Eemnes;1.1716596837740747
Eemsmond;2.3346303501945527
Eersel;2.496599064301444
Eibergen;2.275707951265474
Eijsden;1.6207732682381117
Eindhoven;27.983794982635544
Elburg;2.9409608424002327
Emmen;14.68959843163237
Enkhuizen;2.3239048443987067
Enschede;20.679997067456643
Epe;4.511908026751312
Ermelo;3.6324165514919318
Etten-Leur;5.342659545292861
Ferwerderadiel;1.215512068230509
Franekeradeel;2.8449743538222174
Gaasterlân-Sleat;1.3933653921869442
Geertruidenberg;2.8428020994838183
Geldermalsen;3.4756069414387385
Geldrop;3.7938422020142233
Gemert-Bakel;3.7764641673070294
Gendringen;2.8478254376413665
Gennep;2.2899633703612188
Giessenlanden;1.9470187166864434
Gilze en Rijen;3.3797562187568735
Goedereede;1.5600859126590838
Goes;4.9216495013318635
Goirle;3.056090322335391
Gorinchem;4.685145310238649
Gorssel;1.8145112020440914
Gouda;9.72640456607862
Graafstroom;1.3127204498738736
Graft-De Rijp;0.8614346110714374
Grave;1.7273494967158232
s-Gravendeel;1.2085880075268614
s-Gravenhage;62.97175254764704
s-Gravenzande;2.6439050616241406
Groenlo;1.2986007966742787
Groesbeek;2.5712703071839167
Groningen;24.05391535267907
Grootegast;1.666797907032945
Gulpen-Wittem;2.082648846940244
Haaksbergen;3.273179990279162
Haaren;1.906560479633758
Haarlem;19.9707560259693
Haarlemmerliede en Spaarnwoude;0.7511927033976774
Haarlemmermeer;16.685900168621245
Haelen;1.3717786146991022
Halderberge;4.038492346876434
Hardenberg;7.837900950632806
Harderwijk;5.512502681376449
Hardinxveld-Giessendam;2.422199353211271
Haren;2.5806381540182635
Harenkarspel;2.144150797896172
Harlingen;2.1126531099893833
Hattem;1.586831794200624
Heel;1.1370393802558374
Heemskerk;4.944729703677355
Heemstede;3.4973294848227305
Heerde;2.4804429226596
Heerenveen;5.727963158566421
Heerhugowaard;6.367148997640389
Heerlen;12.75778549531472
