;aantal
Aa en Hunze;3.432609453369023
Aalburg;1.6447780114900301
Aalsmeer;3.2493180402083763
Aalten;3.697588008811984
Ter Aar;1.209561836628407
Abcoude;1.166766925185613
Achtkarspelen;3.798115678144585
Alblasserdam;2.479682510204164
Albrandswaard;2.8340189939427707
Alkemade;1.9529552039554343
Alkmaar;12.711299875248796
Almelo;9.695873520850409
Almere;24.017096432546204
Alphen aan den Rijn;9.548782834664955
Alphen-Chaam;1.2772531588162228
Ambt Montfort;1.4800579749932377
Ameland;0.4676487964267595
Amersfoort;18.436666895444496
Amstelveen;10.60102627042347
Amsterdam;100.0
Andijk;0.8707015001096788
Anna Paulowna;1.8870133592794307
Apeldoorn;21.000593476602084
Appingedam;1.6540636998219571
Arcen en Velden;1.1928745126695817
Arnhem;19.135919599396566
Assen;8.529779471630878
Asten;2.1934410742330224
Baarle-Nassau;0.8946558845021862
Baarn;3.2988417113119874
Barendrecht;5.551092144980547
Barneveld;6.789049347377601
Bedum;1.4365901875843619
Beek;2.2778197203796635
Beemster;1.1459077702370812
Beesel;1.8195911874780475
Bellingwedde;1.31076238192709
Bennebroek;0.690505316393008
Bergambacht;1.264737665847104
Bergeijk;2.430427989486986
Bergen;1.831837530060734
Bergen;4.239791462280592
Bergen op Zoom;8.850606732258617
Bergschenhoek;2.234755658550437
Berkel en Rodenrijs;2.581690506662145
Berkelland;6.095448801540617
Bernheze;3.975889508383362
Bernisse;1.7054714236305966
Best;3.906179558297301
Beuningen;3.374876695479216
Beverwijk;4.91818501128413
Het Bildt;1.4820766028914827
De Bilt;5.657137397235019
Binnenmaas;2.642518493995928
Bladel;2.574423446228463
Blaricum;1.226518310973665
Bleiswijk;1.3768388017963098
Bloemendaal;2.284279329654048
Boarnsterhim;2.5854586120722023
Bodegraven;2.6055103158614363
Boekel;1.2659488425860508
Ten Boer;0.9640966842018144
Bolsward;1.2788680611348189
Borger-Odoorn;3.5397313071692245
Borne;2.765116495016008
Borsele;3.0165029559441194
Boskoop;2.0604807833352847
Boxmeer;3.8959518436128597
Boxtel;3.993653433887918
Breda;22.83862146555077
Breukelen;1.960895140355198
Brielle;2.1518573395291756
Bronckhorst;5.073484784255779
Brummen;2.8778905069312954
Brunssum;3.986520948647452
Bunnik;1.9155433002412934
Bunschoten;2.619909861535584
Buren;3.4429717432466806
Bussum;4.203725310498615
Capelle aan den IJssel;8.828401825377922
Castricum;4.712823266436005
Coevorden;4.862874606872217
Cranendonck;2.7094023650244456
Cromstrijen;1.756071696279938
Cuijk;3.2595457548928177
Culemborg;3.6546585221759735
Dalfsen;3.558033533446646
Dantumadeel;2.631617903345405
Delft;12.79675512294117
Delfzijl;3.766625082931963
Deurne;4.286623629519877
Deventer;12.991889153104852
Diemen;3.2074651551180966
Dinkelland;3.5113359414005783
Dirksland;1.1191273067870309
Doesburg;1.5528631545232743
Doetinchem;7.637815090993017
Dongen;3.439472788223056
Dongeradeel;3.368955386977697
Dordrecht;15.990359033157983
Drechterland;2.49488950703761
Drimmelen;3.586294324022076
Dronten;5.130679241372722
Druten;2.4253141321447655
Duiven;3.4420297168941665
Echt-Susteren;4.346105864921496
Edam-Volendam;3.82987542374364
Ede;14.406005283422086
Eemnes;1.1922016367035
Eemsmond;2.2467328507466906
Eersel;2.446980738252595
