;aantal
Aa en Hunze;3.473976446787741
Aalburg;1.6323012374817478
Aalsmeer;3.0979190402514662
Aalten;2.5574894701207027
Ter Aar;1.234898562389365
Abcoude;1.158898529759655
Achtkarspelen;3.8129175583188086
Alblasserdam;2.4999796064313156
Albrandswaard;2.459736297561201
Alkemade;1.9590062078023074
Alkmaar;12.64292492719496
Almelo;9.656490729083677
Almere;21.603859007023544
Alphen aan den Rijn;9.605234893124104
Alphen-Chaam;1.284386955729641
Ambt Montfort;1.5005587837819465
Ameland;0.484551191936111
Amerongen;0.9816104393318523
Amersfoort;17.636358198078653
Amstelveen;10.503503615099941
Amsterdam;100.0
Andijk;0.8725728254337712
Angerlo;0.6690450099656572
Anna Paulowna;1.9008165584901144
Apeldoorn;21.05418435242262
Appingedam;1.6917145009149914
Arcen en Velden;1.2184477503174598
Arnhem;19.134061882244815
Assen;8.18869761232098
Asten;2.166612737007257
Axel;1.6744479460957191
Baarle-Nassau;0.8793706816618311
Baarn;3.326734880887963
Barendrecht;4.608130779877258
Barneveld;6.65618890426715
Bathmen;0.7121434184515572
Bedum;1.4841079717100414
Beek;2.327585972487716
Beemster;1.1669200001087656
Beesel;1.8222333404937419
Bellingwedde;1.3217751649839706
Bemmel;5.684367377903704
Bennebroek;0.7245155167866262
Bergambacht;1.254204474077055
Bergeijk;2.4436933568629797
Bergen;1.8407235094340648
Bergen;4.34056715874082
Bergen op Zoom;8.945027096254925
Bergh;2.4979402495628977
Bergschenhoek;1.8590777212498266
Berkel en Rodenrijs;2.3035215614403843
Bernheze;3.9128460448712894
Bernisse;1.7348129094008913
Best;3.7320230692048955
Beuningen;3.4572537204667135
Beverwijk;4.864545916799678
Het Bildt;1.4189845090452275
De Bilt;5.752209983059742
Binnenmaas;2.6121442341943046
Bladel;2.5894393943925844
Blaricum;1.2702474147752765
Bleiswijk;1.4128664384399736
Bloemendaal;2.3244589586228086
Boarnsterhim;2.547564600027735
Bodegraven;2.665439427022294
Boekel;1.2637214727963388
Ten Boer;1.0143761063511012
Bolsward;1.2750059141349184
Borculo;1.4278217221417053
Borger-Odoorn;3.580158961070037
Borne;2.8182552350290813
Borsele;3.0251819786112253
Boskoop;2.0700831785688063
Boxmeer;3.981096521401011
Boxtel;3.9931967054869575
Breda;22.21906499566297
Breukelen;1.938204767744444
Brielle;2.175449950103735
Brummen;2.9384413331411805
Brunssum;4.10019496251662
Bunnik;1.8823263895497915
Bunschoten;2.627643346394281
Buren;3.4817260028877293
Bussum;4.216574261141006
Capelle aan den IJssel;8.867939406628725
Castricum;4.782563770689276
Coevorden;4.861282945810209
Cranendonck;2.7626487710835512
Cromstrijen;1.74487373661842
Cuijk;3.3193931961616583
Culemborg;3.5624845348770813
Dalfsen;3.543178623189391
Dantumadeel;2.6871925669520857
Delft;13.179139826464326
Delfzijl;3.9452038405168546
Denekamp;3.5435864945630744
Deurne;4.367486669403936
Deventer;11.702101625231467
Didam;2.2749705652825325
Diemen;3.2590282328564864
Dinxperlo;1.1654244717385924
Dirksland;1.1234137202491823
Doesburg;1.5602439614643127
Doetinchem;6.621247923254923
Dongen;3.418369982842211
Dongeradeel;3.392538129175583
Doorn;1.3874424561470295
Dordrecht;16.345037428996392
Drechterland;1.3701759013277572
Driebergen-Rijsenburg;2.5067774626593757
Drimmelen;3.639844138752403
Dronten;4.944624663166223
Druten;2.3739473519630847
Duiven;3.541819051943779
Echt;2.6038508495960713
Edam-Volendam;3.7840946479118345
Ede;14.099841473992761
Eemnes;1.1704548853473569
Eemsmond;2.31779705951931
Eersel;2.4997076921821932
Eibergen;2.274018865410604
Eijsden;1.6354282513466554
Eindhoven;27.84075613914396
Elburg;2.9508134314762495
Emmen;14.733265717323384
Enkhuizen;2.3216038590070234
Enschede;20.576566973839128
Epe;4.517039506421255
Ermelo;3.6382126532576686
Etten-Leur;5.249712450681553
Ferwerderadiel;1.2092026658472983
Franekeradeel;2.820158634772938
Gaasterlân-Sleat;1.3947841408733341
Geertruidenberg;2.8534681302904317
Geldermalsen;3.4064057558808254
Geldrop;3.8312717701345704
