;aantal
Aa en Hunze;3.33087065464254
Aalburg;1.643610000299691
Aalsmeer;3.80307952106763
Aalten;3.583262645333875
Abcoude;1.1419532299529485
Achtkarspelen;3.659879315714105
Alblasserdam;2.4775329432137565
Albrandswaard;3.1520984237553376
Alkmaar;12.230131460133922
Almelo;9.460073984601092
Almere;24.517334521673526
Alphen aan den Rijn;9.45121355333263
Alphen-Chaam;1.2295151389589254
Ameland;0.4561819098659599
Amersfoort;18.875585211940212
Amstelveen;10.514595606007893
Amsterdam;100.0
Andijk;0.847474190736419
Anna Paulowna;1.854696745224814
Apeldoorn;20.291169407536838
Appingedam;1.5677751326784433
Arnhem;19.15651300333439
Assen;8.711497842875888
Asten;2.128458011328322
Baarle-Nassau;0.8734039822426534
Baarn;3.1685162816939583
Barendrecht;6.052326058658661
Barneveld;6.839471136493641
Bedum;1.3612489038473816
Beek;2.1602513235269205
Beemster;1.1184991471834904
Beesel;1.8114369925611467
Bellingwedde;1.206712558488619
Bergambacht;1.2676931736892099
Bergeijk;2.353356604995459
Bergen;1.7448534575878518
Bergen;4.03735974784255
Bergen op Zoom;8.5796337775276
Berkelland;5.8606540822482565
Bernheze;3.864060136268221
Bernisse;1.6228922271866697
Best;3.7725892134673344
Beuningen;3.3201860169364537
Beverwijk;5.066472779582439
Het Bildt;1.4213174158291604
De Bilt;5.47483442069067
Binnenmaas;3.7690711010519156
Bladel;2.4987719181660992
Blaricum;1.1668406177805402
Bloemendaal;2.8696070268431977
Boarnsterhim;2.5222260009355573
Bodegraven;2.5339530423202863
Boekel;1.2732960934619137
Ten Boer;0.967741515159807
Bolsward;1.2906260546193467
Borger-Odoorn;3.3971935886961746
Borne;2.779308808180784
Borsele;2.94713580044224
Boskoop;1.9662339388395702
Boxmeer;3.7233356396514723
Boxtel;3.9449767218228513
Breda;22.5809393881351
Breukelen;1.9042109199603365
Brielle;2.053404946466056
Bronckhorst;4.918972659054514
Brummen;2.7544214203531925
Brunssum;3.837087941083344
Bunnik;1.8840143486866365
Bunschoten;2.606009196606455
Buren;3.373088003627565
Bussum;4.184208366071323
Capelle aan den IJssel;8.51448354761244
Castricum;4.515171534040344
Coevorden;4.706582909531088
Cranendonck;2.6507022543282557
Cromstrijen;1.670191294105077
Cuijk;3.1836311350342754
Culemborg;3.5833929457937055
Dalfsen;3.5518602345147676
Dantumadiel;2.5125837669081132
Delft;12.607872493182029
Delfzijl;3.4705527475806464
Deurne;4.107852296610755
Deventer;12.837592203862888
Diemen;3.216466850911517
Dinkelland;3.39536938225855
Dirksland;1.0996055805080935
Doesburg;1.5114853340317438
Doetinchem;7.310898200159748
Dongen;3.2654598238077184
Dongeradeel;3.180503923998348
Dordrecht;15.437998480696638
Drechterland;2.513626170586756
Drimmelen;3.464819527348112
Dronten;5.184264395269051
Druten;2.3563535155715565
Duiven;3.33477966843745
Echt-Susteren;4.206359444242478
Edam-Volendam;3.71434490792318
Ede;14.040656349476258
Eemnes;1.1514651635205622
Eemsmond;2.1403153531728814
Eersel;2.36586544913917
Eijsden;1.490506959999062
Eindhoven;27.859411015861475
Elburg;2.8895429971972373
Emmen;14.266727647281867
Enkhuizen;2.3653442472998485
Enschede;20.463947817271848
Epe;4.284409419680842
Ermelo;3.4222112769835964
Etten-Leur;5.410596293994321
Ferwerderadiel;1.1517257644402228
Franekeradeel;2.6837985711251573
Gaasterlân-Sleat;1.3424856376318153
Geertruidenberg;2.747645796442016
Geldermalsen;3.421690075144275
Geldrop-Mierlo;4.966662627352412
Gemert-Bakel;3.747832126099573
Gennep;2.235043787469526
Giessenlanden;1.882971945007994
Gilze en Rijen;3.3845544440926334
Goedereede;1.4880312512622857
Goes;4.7696483320889635
Goirle;2.965768766197976
Gorinchem;4.516604839098477
Gouda;9.267229304052213
Graafstroom;1.2774657081764842
Graft-De Rijp;0.8455196838389643
Grave;1.6830910396282788
s-Gravenhage;63.65868055148366
Groesbeek;2.465675601369197
Groningen;24.40501552529979
Grootegast;1.5819778827999484
Gulpen-Wittem;1.90160491076373
Haaksbergen;3.1905370594052824
Haaren;1.7753437651881474
Haarlem;19.490212480959844
Haarlemmerliede en Spaarnwoude;0.7033618821640821
Haarlemmermeer;18.605342058252123
Halderberge;3.816630768889983
Hardenberg;7.689551336426666
Harderwijk;5.734523237132504
Hardinxveld-Giessendam;2.279867145651157
Haren;2.412643314218256
Harenkarspel;2.0960131968305715
Harlingen;2.0599199694575723
Hattem;1.5365030223191658
Heemskerk;5.061912263488378
Heemstede;3.39536938225855
Heerde;2.3861923208727003
Heerenveen;5.657385364912953
Heerhugowaard;6.6685169331962575
Heerlen;11.62749183341868
Heeze-Leende;1.9883850170107251
Heiloo;2.925375623650576
Den Helder;7.479637295640016
Hellendoorn;4.663583757787081
Hellevoetsluis;5.180225081014311
Helmond;11.504357898879025
Hendrik-Ido-Ambacht;3.504691468056191
Hengelo;10.524628741414828
s-Hertogenbosch;18.190856295531866
Heumen;2.167157247897928
Heusden;5.602268270404727
Hillegom;2.669074619164331
Hilvarenbeek;1.951640287338574
Hilversum;11.019900789229885
Hof van Twente;4.621496709261887
Hoogeveen;7.141116701000838
Hoogezand-Sappemeer;4.528462180943037
Hoorn;9.153867903999833
Horst aan de Maas;5.402908566864332
Houten;6.2051684980396296
Huizen;5.464019482524754
Hulst;3.6301708108727917
IJsselstein;4.459663538152626
Kaag en Braassem;3.3411643909691358
Kampen;6.521668314967483
Kapelle;1.6159863028156627
Katwijk;8.056216830389195
Kerkrade;6.21324712654911
Koggenland;2.8625708020123604
Kollumerland en Nieuwkruisland;1.6945574800933472
Korendijk;1.419102308012045
Krimpen aan den IJssel;3.7542168486312586
Laarbeek;2.812014223598195
Landerd;1.939913245953845
Landgraaf;5.010964783694722
Landsmeer;1.3333646054436925
Langedijk;3.5122488947263495
Lansingerland;6.849243670980915
Laren;1.4753921066587443
Leek;2.5231381041543695
Leerdam;2.7030830391800453
Leeuwarden;12.257755157617952
Leeuwarderadeel;1.3596852983294179
Leiden;15.26118075670689
Leiderdorp;3.443319951476109
Leidschendam-Voorburg;9.40248118135609
Lelystad;9.724062716217325
Lemsterland;1.7750831642684868
Leudal;4.787369194625888
Leusden;3.7542168486312586
Liesveld;1.2691264787473435
Lingewaal;1.4201447116906876
Lingewaard;5.921504396989017
Lisse;2.9102607703102583
Lith;0.8666283583314766
Littenseradiel;1.4234022231864456
Lochem;4.351383856033628
Loenen;1.1080751103970645
Loon op Zand;2.9989953834547083
Lopik;1.8468787176349946
Loppersum;1.3619004061465332
Losser;2.950914513777319
Maarssen;5.1681071382500905
Maasdonk;1.4682255813680767
Maasdriel;3.095417723729147
Maasgouw;3.1630436623810847
Maassluis;4.116321826499726
Maastricht;15.444904405067646
Margraten;1.746547363565646
De Marne;1.3716729406338075
Marum;1.3615095047670422
Medemblik;3.568147791993558
Meerssen;2.5493284965802645
Menaldumadeel;1.791370721747277
Menterwolde;1.6291466492585251
Meppel;4.21886828838619
Middelburg;6.254031170476001
Middelharnis;2.3388932539542933
Midden-Delfland;2.3310752263644736
Midden-Drenthe;4.372883431905631
Mill en Sint Hubert;1.4373443723882902
Millingen aan de Rijn;0.7705969194365286
Moerdijk;4.7606576003606715
Montferland;4.583839876370924
Montfoort;1.7582744049503751
Mook en Middelaar;1.0487884011742676
Muiden;0.8469529888970978
Naarden;2.234913487009696
Neder-Betuwe;2.9386662705532687
Nederlek;1.8355425776297565
Nederweert;2.1638997364021697
Neerijnen;1.5479694627842342
Niedorp;1.5814566809606272
Nieuwegein;7.934776801827334
Nieuwkoop;3.508861082770761
Nieuw-Lekkerland;1.2417633821829757
Nijefurd;1.426399133762543
Nijkerk;5.1518195807713
Nijmegen;21.234153835328886
Noord-Beveland;0.9638325013648973
Noordenveld;4.014296566452583
Noordoostpolder;6.005548193579575
Noordwijk;3.31054378290901
Noordwijkerhout;2.02682365266067
Nuenen, Gerwen en Nederwetten;2.894364114210959
Nunspeet;3.4826706903448663
Nuth;2.0414173041616666
Oegstgeest;2.944399490785803
Oirschot;2.3128331619882285
Oisterwijk;3.3652699760377454
Oldambt;5.145043956860124
Oldebroek;2.9643354611398425
Oldenzaal;4.166226902614739
Olst-Wijhe;2.2854700654238607
Ommen;2.267749202886937
Onderbanken;1.056606428764087
Oost Gelre;3.9124016068652705
Oosterhout;7.053945693374352
Oostflakkee;1.350564266141295
Ooststellingwerf;3.418432563648517
Oostzaan;1.1921189069876228
Opmeer;1.4836010356280547
Opsterland;3.914095512843065
Oss;10.084213187188338
Oud-Beijerland;3.069227331303252
Oude IJsselstreek;5.198597445850386
Ouder-Amstel;1.7068057233173977
Ouderkerk;1.0620790480769606
Oudewater;1.2825474261098668
Overbetuwe;5.9387040576866195
Papendrecht;4.15046054697527
Peel en Maas;5.610477199374037
Pekela;1.7009422026250332
Pijnacker-Nootdorp;6.256115977833286
Purmerend;10.29868774406905
Putten;3.074048448316974
Raalte;4.7945357199165555
Reeuwijk;1.701724005384015
Reimerswaal;2.7983326753160114
Renkum;4.124791356388696
Renswoude;0.5996427161391452
Reusel-De Mierden;1.635922273169702
Rheden;5.697257305621031
Rhenen;2.457466672399887
Ridderkerk;5.830424375567621
Rijnwaarden;1.443729094919976
Rijnwoude;2.416682628472996
Rijssen-Holten;4.831541050508367
Rijswijk;6.081383061200823
Roerdalen;2.7763118976046868
Roermond;7.194148988151779
De Ronde Venen;4.482335818163103
Roosendaal;10.106885467198813
Rotterdam;78.97455740191307
Rozendaal;0.19479918744633248
Rucphen;2.9296755388249767
Schagen;2.441309415380927
Schermer;0.6984104646905299
Scherpenzeel;1.2138790837792865
Schiedam;9.846154247078339
Schiermonnikoog;0.12274303316016402
Schijndel;2.99573787195895
Schinnen;1.7582744049503751
Schoonhoven;1.5616510110664181
Schouwen-Duiveland;4.445591088490951
Simpelveld;1.4327838562942288
Sint Anthonis;1.5430180453106819
Sint-Michielsgestel;3.6663943387056213
Sint-Oedenrode;2.303712129800106
Sittard-Geleen;12.41020669561943
Skarsterlân;3.5557692483096774
Sliedrecht;3.133856359379092
Slochteren;2.02682365266067
Sluis;3.1388077768526443
Smallingerland;7.201836715281768
Sneek;4.3560746725875195
Soest;5.952125005049143
Someren;2.375247082246953
Son en Breugel;2.0252600471427065
Spijkenisse;9.426586766424698
Stadskanaal;4.354120165690064
Staphorst;2.1047433276392034
Stede Broec;2.772011982430286
Steenbergen;3.0260978790994155
Steenwijkerland;5.6300222683485845
Stein;3.345203705223876
Strijen;1.1617588998471575
Terneuzen;7.150628634568451
Terschelling;0.6167120763769175
Texel;1.795410036002017
Teylingen;4.659414143072511
Tholen;3.310934684288501
Tiel;5.367336541330654
Tilburg;26.692440097621105
Tubbergen;2.7552032231121744
Twenterand;4.375489441102237
Tynaarlo;4.2227773021810995
Tytsjerksteradiel;4.200495923550114
Ubbergen;1.216094191596402
Uden;5.281859439681963
Uitgeest;1.6501250232912072
Uithoorn;3.655318799620044
Urk;2.3858014194932093
Utrecht;40.01279550515534
Utrechtse Heuvelrug;6.35879274017958
Vaals;1.2860655385252855
