;aantal
Aa en Hunze;2.9926137379030875
Aalburg;1.5464875311705941
Aalsmeer;3.713013952354408
Aalten;3.2010291769779644
Achtkarspelen;3.3011538001791827
Alblasserdam;2.3679591737706627
Albrandswaard;2.971192275965238
Alkmaar;12.826011572323472
Almelo;8.577934473996594
Almere;23.77829615348655
Alphen aan den Rijn;12.890157607518578
Alphen-Chaam;1.1903705202811536
Ameland;0.42996779679672215
Amersfoort;18.265879398352794
Amstelveen;10.568000123084643
Amsterdam;100.0
Apeldoorn;18.9416614296518
Appingedam;1.4167752533590863
Arnhem;18.42707294066965
Assen;7.994702626318573
Asten;1.9781122366254924
Baarle-Nassau;0.7878600669627799
Baarn;2.9030223197431315
Barendrecht;5.721542297919278
Barneveld;6.672134465238648
Bedum;1.2401961306448805
Beek;1.88781071475489
Beemster;1.089417442750847
Beesel;1.586490040203705
Bellingwedde;1.0555691658766762
Berg en Dal;4.11434089948837
Bergeijk;2.1707870434476955
Bergen;1.5498013484869464
Bergen;3.5320558567578795
Bergen op Zoom;7.8305503185406895
Berkelland;5.235594658599888
Bernheze;3.5803429090818715
Best;3.453471046112951
Beuningen;3.008946123247967
Beverwijk;4.817935326121047
Het Bildt;1.241853039303057
De Bilt;5.059962340833212
Binnenmaas;3.446606710243364
Bladel;2.374468457784926
Blaricum;1.2072946587182392
Bloemendaal;2.701471216537842
Bodegraven-Reeuwijk;3.9923214118755377
Boekel;1.2325033404462054
Ten Boer;0.8625393071991497
Bonaire;0.3
Borger-Odoorn;3.000779930575527
Borne;2.697802347366166
Borsele;2.6851388311929623
Boxmeer;3.3977279048271667
Boxtel;3.6280382083136575
Breda;21.575791144296623
Brielle;1.9921959602199901
Bronckhorst;4.309146017442514
Brummen;2.466781940169028
Brunssum;3.3561868377543207
Bunnik;1.7937219730941703
Bunschoten;2.487729999633113
Buren;3.118302094687596
Capelle aan den IJssel;7.860966427480067
Castricum;4.1678353790237725
Coevorden;4.176119922314654
Cranendonck;2.447017386889355
Cromstrijen;1.5145328641914817
Cuijk;2.922786873022805
Culemborg;3.2977216322443894
Dalfsen;3.3221018596432677
Dantumadiel;2.2417974145123893
Delft;11.998504048182904
Delfzijl;2.9546231893834762
Deurne;3.7792902986814556
Deventer;11.75162465811465
Diemen;3.2276580661272245
Dinkelland;3.1059936303697153
Doesburg;1.3422143637411577
Doetinchem;6.754033093199928
Dongen;3.019005925815465
Dongeradeel;2.8286981313620854
Dordrecht;14.051887278136972
Drechterland;2.2941083878633806
Drimmelen;3.1799627668954384
Dronten;4.822314299003369
Druten;2.196942530123191
Duiven;3.005869007168497
Echt-Susteren;3.765324925705399
Edam-Volendam;4.2369521401934085
Ede;13.42344549421443
Eemnes;1.0650372153519687
Eemsmond;1.8528972823147487
Eersel;2.1958773745572207
Eijsden-Margraten;2.99391559470594
Eindhoven;26.849968104508328
Elburg;2.7251413402260733
Emmen;12.721507976239929
Enkhuizen;2.187001078174134
Enschede;18.715966800284516
Epe;3.8507740722199144
Ermelo;3.146942944350356
Etten-Leur;5.092272059667648
Ferwerderadiel;1.0337926520835035
Franekeradeel;2.392457751787982
De Fryske Marren;6.105116652287066
Geertruidenberg;2.545011698958633
