RegioNaam;CDA;Lijst Pim Fortuyn;VVD;Partij van de Arbeid;GL;SP;Democraten 66;ChristenUnie;Staatkundig Gereformeerde Partij;LN;Verenigde Senioren Partij;Vrije Indische Partij & OuderenUnie;Duurzaam Nederland;Partij van de Toekomst;Nieuwe Midden Partij;Republikeinse Volkspartij
Beek;0.39589874411302983;0.17994505494505494;0.1401098901098901;0.11126373626373626;0.0603414442700157;0.04228806907378336;0.044152276295133436;0.003237833594976452;0.00019623233908948196;0.016287284144427;0.002845368916797488;0.0022566718995290424;0.0004905808477237048;0.0002943485086342229;0.0003924646781789639;0.0
Beemster;0.2541277817659727;0.1667264895908112;0.24228284278535533;0.1509332376166547;0.051148600143575015;0.049174443646805455;0.05437903804737976;0.00466618808327351;0.0005384063173007897;0.018485283560660447;0.006460875807609476;0.0005384063173007897;0.0;0.0;0.0005384063173007897;0.0
Beesel;0.37124376768629563;0.20886672955127342;0.13906481606252527;0.11144050667026008;0.058078426088128285;0.03907829133539954;0.04150384045276917;0.0021560436598841125;0.0008085163724565423;0.020617167497641826;0.004042581862282711;0.0014822800161703275;0.00026950545748551406;0.00040425818622827114;0.0009432691011992993;0.0
Bellingwedde;0.1565232598810773;0.18450507170339278;0.1287163343826513;0.3179433368310598;0.07030430220356768;0.05981112277019937;0.03812521860790486;0.015215110178384051;0.0027981811822315496;0.020461699895068207;0.004547044421126268;0.0;0.0003497726477789437;0.0006995452955578874;0.0;0.0
Bemmel;0.35890842097182774;0.14105319720580334;0.15962999923236354;0.13855837875182314;0.061449297612650645;0.04824595071774008;0.06010593382973824;0.004720964151377908;0.0008444000921163737;0.02153220234896753;0.0033392185460965687;0.0006141091579028172;0.0001535272894757043;0.0006141091579028172;0.00023029093421355647;0.0
Bennebroek;0.3259361997226075;0.13980582524271845;0.27212205270457696;0.09292649098474341;0.0507628294036061;0.03522884882108183;0.06352288488210818;0.007212205270457697;0.001664355062413315;0.008321775312066574;0.002219140083217753;0.0;0.0;0.0;0.00027739251040221914;0.0
Bergambacht;0.24397940541438298;0.15495764823119082;0.17272878259425345;0.15794718485301446;0.026241488124896198;0.031556219897027074;0.03869789071582794;0.04600564690250789;0.10845374522504567;0.017106792891546256;0.0013286829430327188;0.0;0.0003321707357581797;0.0003321707357581797;0.0003321707357581797;0.0
Bergeijk;0.437383010963544;0.16864248150459044;0.15268740529458955;0.09501738122827347;0.04447811747927623;0.0452803280149746;0.029770924324806134;0.0038327836705588734;0.0005348070237989126;0.01461805865050361;0.005348070237989126;0.0005348070237989126;8.913450396648542e-05;0.0014261520634637668;0.0003565380158659417;0.0
Bergen;0.4314580031695721;0.17828843106180667;0.1211040676175383;0.12638668779714737;0.040147913365029056;0.045298468040147914;0.03301637612255679;0.0011885895404120444;0.0005282620179609086;0.015583729529846805;0.004358161648177496;0.0011885895404120444;0.0002641310089804543;0.0010565240359218173;0.00013206550449022716;0.0
Bergen;0.23422404448843018;0.18214807483858805;0.21631556623780573;0.1340308214336208;0.07488571563221641;0.0608888260521231;0.06338658749234177;0.004712757434374853;0.0008011687638437249;0.021914322069843065;0.0056081813469060745;0.0005655308921249824;0.0003298930204062397;0.0;0.00018851029737499412;0.0
Bergen op Zoom;0.2606225158148127;0.2099591334042434;0.20553658400044786;0.12604265800817332;0.06054414152158092;0.05360241840676258;0.05195096008509209;0.006101998544477411;0.0010636511224318423;0.017214353691989027;0.0033588982813637126;0.0013155684935341207;0.0015954766836477636;0.0008397245703409282;0.00025191737110227846;0.0
Bergh;0.4054301124417223;0.1681140872108968;0.14452875034281013;0.13803821190236767;0.045525185117469606;0.038486150470792575;0.037571990127068286;0.002651064996800439;0.001371240515586434;0.012432580674650334;0.0034738093061522993;9.141603437242893e-05;0.0003656641374897157;0.001371240515586434;0.0005484962062345736;0.0
Bergschenhoek;0.3107965843958358;0.24178266463913908;0.20247982220142707;0.07556439349631536;0.03017896830038601;0.029243186337583344;0.044098724997075685;0.03766522400280735;0.005380746286115335;0.01953444847350567;0.002807345888408001;0.0003509182360510001;0.0;0.00011697274535033338;0.0;0.0
Berkel en Rodenrijs;0.3505107205300451;0.20714088524891874;0.1590135271924174;0.07840250299070581;0.03929327321247814;0.033035796447961716;0.03736081715284807;0.07021257016655931;0.008834084844023189;0.012975062114659059;0.002300542928131039;0.00027606515137572465;9.202171712524156e-05;0.00027606515137572465;0.00027606515137572465;0.0
Bernheze;0.43909597886703844;0.12515409451130027;0.13642500733783386;0.09251540945113003;0.050249486351629;0.0970942177869093;0.03927208687995304;0.0014675667742882301;0.0006457293806868212;0.01391253302025242;0.001702377458174347;0.0007044320516583504;0.000293513354857646;0.0014675667742882301;0.0;0.0
Bernisse;0.2833496812162825;0.2346738597351643;0.19188327611574302;0.11929867582148111;0.02856792545365375;0.03653751839136832;0.04941147621383031;0.015939185875429134;0.013854830799411477;0.022560078469838155;0.002697400686611084;0.0002452182442373713;0.0007356547327121138;0.0002452182442373713;0.0;0.0
Best;0.34146341463414637;0.17127911927498327;0.1782130040751779;0.10844839121707925;0.05705249072440849;0.05443707803661578;0.05200413600145976;0.01374612249863147;0.0014597652210936074;0.014171887354783773;0.0036494130527340188;0.0008515297123046044;0.0009731768140624049;0.0020680007298826105;0.00018247065263670093;0.0
Beuningen;0.30181695827725435;0.15720053835800807;0.17624495289367428;0.14407806191117092;0.07550471063257067;0.06413189771197847;0.05430686406460296;0.0050471063257065945;0.0010767160161507402;0.012987886944818304;0.004845222072678331;0.0011440107671601616;0.00026917900403768504;0.0013458950201884253;0.0;0.0
Beverwijk;0.2406323737612081;0.21146767343086362;0.14223690420009438;0.16682397357243983;0.07951864086833411;0.06762623879188297;0.04728645587541293;0.0066068900424728644;0.001368570080226522;0.025294950448324683;0.00825861255309108;0.0;0.0011798017932987258;0.0008494572911750826;0.0008494572911750826;0.0
Binnenmaas;0.26777288455489145;0.23183391003460208;0.16789871028625353;0.1277131173324945;0.034287511796162316;0.036174897766593266;0.04254482541679774;0.017222396980182447;0.05441962881409248;0.01620006291286568;0.0029883611198490093;0.00023592324630386914;0.0003932054105064486;0.00015728216420257942;0.00015728216420257942;0.0
Bladel;0.4422476586888658;0.15053763440860216;0.13926465487339576;0.09391259105098855;0.04968782518210198;0.05020811654526535;0.03902185223725286;0.002167880679847381;0.0005202913631633715;0.02428026361429067;0.00346860908775581;0.0008671522719389525;0.000346860908775581;0.00346860908775581;0.0;0.0
Blaricum;0.24600341455843552;0.16979667856588546;0.28651249417972996;0.101195095452429;0.05246003414558435;0.04904547571007295;0.0712401055408971;0.00853639608877852;0.0017072792177557038;0.009467639298463448;0.002948936830668943;0.0;0.0;0.0007760360080707744;0.0003104144032283098;0.0
Bleiswijk;0.341817060003085;0.21548665741169212;0.19080672528150547;0.07990128027147925;0.03054141601110597;0.027764923646459973;0.03809964522597563;0.04103038716643529;0.015733456732993985;0.015733456732993985;0.0016967453339503317;0.00046274872744099955;0.00030849915162733303;0.0006169983032546661;0.0;0.0
Bloemendaal;0.24214466010967012;0.14378971189833753;0.321263817564627;0.10079206197232135;0.06014448603011576;0.03568630864304988;0.07528940725911741;0.006615023065540952;0.0019148750979197493;0.008442858386282531;0.0033945513099486466;0.0;8.703977717817043e-05;0.0003481591087126817;8.703977717817043e-05;0.0
Boarnsterhim;0.2253280091272105;0.09933990709803601;0.1852334773042132;0.2707195827560916;0.07986309184255562;0.0519925026485209;0.057452530356124194;0.007497351479097058;0.0030152391818107733;0.016054111319370873;0.0025262814766522698;0.0;0.00032597180343900254;0.0005704506560182544;8.149295085975064e-05;0.0
Bodegraven;0.34584880188997635;0.17212284846439418;0.15381370232872088;0.09247384407694904;0.0417651029362133;0.03138710766115423;0.03670266621667229;0.053746203172460344;0.055264934188322644;0.011727978400269996;0.004303071211609855;0.0002531218359770503;0.00016874789065136686;0.0002531218359770503;0.00016874789065136686;0.0
Boekel;0.4844919786096257;0.16684491978609625;0.09946524064171124;0.08110516934046345;0.041176470588235294;0.0679144385026738;0.03582887700534759;0.0017825311942959;0.0;0.012121212121212121;0.006951871657754011;0.0;0.00035650623885918;0.0017825311942959;0.00017825311942959;0.0
Bolsward;0.4016209691326091;0.12088291084669771;0.121227797896189;0.1546818416968443;0.06518365235385411;0.05776858078979134;0.034316261424383515;0.01965856182100362;0.0027590963959303327;0.016554578375581996;0.00327642697016727;0.0;0.0015519917227108122;0.0005173305742369374;0.0;0.0
Borculo;0.2819940476190476;0.09925595238095238;0.2638392857142857;0.20282738095238095;0.0494047619047619;0.045089285714285714;0.034375;0.007738095238095238;0.0010416666666666667;0.009970238095238095;0.002232142857142857;0.000744047619047619;0.00014880952380952382;0.000744047619047619;0.0005952380952380953;0.0
Borger-Odoorn;0.22000860849781714;0.13152554879173584;0.17118612802066038;0.2695689602164422;0.0549714074893931;0.04992928733935928;0.05324970792596692;0.02846953206665437;0.0020291459140380002;0.014634446289122548;0.0030129742359958187;0.00036893562073418186;6.148927012236365e-05;0.0008608497817130911;0.0001229785402447273;0.0
Borne;0.42467028704422033;0.10659425911559349;0.13894491854150504;0.15647788983708302;0.05112490302560124;0.047711404189294024;0.04724592707525213;0.008688906128782002;0.0012412723041117144;0.013110938712179984;0.0027152831652443757;0.0007757951900698216;0.0005430566330488751;7.757951900698215e-05;7.757951900698215e-05;0.0
Borsele;0.3675771971496437;0.1301959619952494;0.11601840855106889;0.09701603325415677;0.04401722090261283;0.03629750593824228;0.03251187648456057;0.02575712589073634;0.13405581947743467;0.011802256532066508;0.0037856294536817102;0.0;0.0002969121140142518;0.0005195961995249406;0.0001484560570071259;0.0
Boskoop;0.34166406331354787;0.18056857232114965;0.17463292721024679;0.07882953243777986;0.05539935436842653;0.033114651671352704;0.04498594189315839;0.03467666354264293;0.034884931792148285;0.01645319171092367;0.002707487243569718;0.0007289388732687702;0.0002082682495053629;0.0010413412475268145;0.00010413412475268145;0.0
Boxmeer;0.39985538684020244;0.1421102397241226;0.12909505534234383;0.10762556315701652;0.05651037321319317;0.1005061460592914;0.04316146615495856;0.0031147449802547415;0.0008343066911396629;0.011569052783803326;0.0036709494410145167;0.0010011680293675956;0.0003893431225318427;0.0005005840146837978;5.562044607597753e-05;0.0
Boxtel;0.3246630965691755;0.15835932442770553;0.13905725887129994;0.13205437533101866;0.07744365326899312;0.08056258459365621;0.06214323544989113;0.0042958865415170955;0.0006473253692696993;0.013240746189607485;0.004178191019831696;0.0013534984993820985;0.0007650208909550991;0.0011769552168539987;5.884776084269993e-05;0.0
Breda;0.26681736274750234;0.16423384904091184;0.18564406580869416;0.1309669783658716;0.08360433748813802;0.06979645366628637;0.06739740049260559;0.005501828611641273;0.0010129335622207768;0.017187883182104128;0.003539936238497873;0.00142876944565878;0.0017273182850501669;0.0009809461865716996;0.00015993687824538582;0.0
Breukelen;0.3120659722222222;0.1404079861111111;0.1974826388888889;0.09071180555555555;0.057074652777777776;0.0380859375;0.05544704861111111;0.036783854166666664;0.053059895833333336;0.013129340277777778;0.004557291666666667;0.0007595486111111111;0.00010850694444444444;0.0003255208333333333;0.0;0.0
Brielle;0.2213090695626651;0.23441933274630664;0.22062420506799726;0.13834262792290383;0.041385383034928086;0.05077781039037276;0.052147539379708445;0.008414049505919187;0.0028372957636239116;0.023285392818706584;0.005283240387437629;0.000587026709715292;0.00019567556990509734;0.000293513354857646;9.783778495254867e-05;0.0
Brummen;0.2667956253254966;0.14262331671750614;0.17654936388661557;0.22319767874414106;0.05862659028346105;0.04843389628747861;0.05066587307492002;0.008109515661037126;0.00349676363365821;0.016367829774570346;0.0029015698236738337;0.0011159883937207054;0.00022319767874414106;0.0008927907149765642;0.0;0.0
Brunssum;0.3219366261676537;0.20819341840161182;0.09518285609622076;0.15312290127602418;0.055925270163013616;0.09774711520849869;0.030587947982172292;0.01208865010073875;0.0004884303071005556;0.017095060748519447;0.003541119726479028;0.0023810977471152087;0.0002442151535502778;0.0011600219793638194;0.00030526894193784725;0.0
Bunnik;0.3292158968850698;0.11632653061224489;0.18238453276047262;0.11922663802363051;0.09129967776584318;0.052524167561761544;0.0715359828141783;0.010848549946294308;0.012137486573576798;0.011922663802363051;0.0018259935553168636;0.0004296455424274973;0.00032223415682062297;0.0;0.0;0.0
Bunschoten;0.4265244918360547;0.12587470843052315;0.04931689436854382;0.02890703098967011;0.01307897367544152;0.013578807064311896;0.01016327890703099;0.2978173942019327;0.02465844718427191;0.0074141952682439186;0.0008330556481172943;0.0003332222592469177;0.0010829723425524824;0.00041652782405864714;0.0;0.0
Buren;0.22766730283814565;0.19454534260912393;0.20538077941267008;0.17349011882041496;0.03817028873976482;0.03632333928461491;0.04451148186911285;0.016376285168995874;0.04266453241396294;0.01717662993289417;0.002031644400664902;0.0004309548728683125;0.0003078249091916518;0.0009234747275749553;0.0;0.0
Bussum;0.23757298806803756;0.14810865701954812;0.2458999746128459;0.1329271388677329;0.07047473978167047;0.05564864178725565;0.0728103579588728;0.013201320132013201;0.00390962173140391;0.010814927646610815;0.007362274689007363;0.0;0.0002538715410002539;0.0008123889312008124;0.0002030972328002031;0.0
Capelle aan den IJssel;0.2065437057123123;0.2584482361668926;0.14852523598782327;0.14126013660433348;0.04701849530582487;0.04405106034637129;0.047453378015399963;0.0317208564631245;0.05085569568442864;0.01890460719858791;0.0029674349594535827;0.0008186027474354711;0.0006651147322913202;0.0005372080530045279;0.00023023202271622625;0.0
Castricum;0.2813475268265572;0.1429182164080202;0.20076097644393143;0.13030652815185328;0.0841776751742123;0.059082553118720876;0.06613654824505151;0.006369971356504639;0.0007267752554401266;0.022316275490573297;0.004488905989483135;0.0008122782266683767;0.00012825445684237527;0.0;0.0004275148561412509;0.0
Coevorden;0.2849682618286589;0.12141538738576509;0.17827398370323685;0.2442263539368838;0.051951559897357405;0.039076216629901406;0.043398010174222304;0.015576464232656552;0.0033313825237473553;0.013370548777742764;0.0029262143789672715;0.0007202989240534822;0.0001350560482600279;0.0004501868275334264;0.00018007473101337056;0.0
Cranendonck;0.4084041938413275;0.19829934780814001;0.14521588376124825;0.10542392470899034;0.038140840419384134;0.043754643771154955;0.03516882688021134;0.0027243457442417238;0.0005778915215058202;0.014942623627507636;0.0047882440353339386;0.0007430033847931974;8.25559316436886e-05;0.001238338974655329;0.0004953355898621316;0.0
Cromstrijen;0.26737520898017675;0.2130403630284213;0.1689754000477669;0.1358968235013136;0.03140673513255314;0.042870790542154286;0.04370671124910437;0.018032003821351804;0.05743969429185575;0.014807738237401481;0.004776689754000477;0.0007165034631000717;0.0002388344877000239;0.00035825173155003585;0.00035825173155003585;0.0
Cuijk;0.33547099900242267;0.16709419980048454;0.1393758016246259;0.132464015961237;0.0758158757303691;0.07025794499073679;0.053655408294142795;0.0019951546244833976;0.0005700441784238278;0.015106170728231437;0.005130397605814451;0.0010688328345446773;0.0010688328345446773;0.0007838107453327633;0.00014251104460595695;0.0
Culemborg;0.2343854041816487;0.18744173658276733;0.16686642695432147;0.1574111066719936;0.08403249434012518;0.07344519909442003;0.053535757091490214;0.013051005460114529;0.008389932081502197;0.016779864163004393;0.002263949926754561;0.0004661073378612332;0.0006658676255160474;0.00126514848848049;0.0;0.0
Dalfsen;0.48686179445741307;0.08337822469623511;0.11192913150176573;0.10253187286766026;0.03812773089124319;0.026156700784102472;0.0315436643323158;0.08738851978212725;0.017537559106961153;0.011492188902855091;0.001616089064463997;0.0004189860537499252;0.00023942060214281438;0.000598551505357036;0.0001795654516071108;0.0
Dantumadeel;0.42278459868036417;0.11525933350037584;0.06230685709513071;0.15476488766391047;0.041343021799047856;0.03616470391714691;0.02463877056710933;0.07959575712018709;0.048442328572621735;0.011609454606197276;0.0016704251231938528;0.0;0.0004176062807984632;0.0009187338177566191;8.352125615969264e-05;0.0
De Bilt;0.24171104011359604;0.14384096556620518;0.21735889243876463;0.11945331913383031;0.0767128150514732;0.05757898473553426;0.07380191693290734;0.02406815761448349;0.02921547745828896;0.012318068867589634;0.003159389421370252;0.00028399006034788784;0.00010649627263045793;0.00039048633297834574;0.0;0.0
De Lier;0.4870921985815603;0.2124822695035461;0.15120567375886526;0.04340425531914894;0.019148936170212766;0.018865248226950355;0.02595744680851064;0.02028368794326241;0.0024113475177304964;0.015602836879432624;0.001276595744680851;0.000851063829787234;0.0005673758865248227;0.0005673758865248227;0.00028368794326241134;0.0
De Marne;0.27474747474747474;0.1191919191919192;0.12481962481962482;0.21356421356421357;0.06233766233766234;0.0608946608946609;0.032756132756132754;0.08701298701298701;0.004617604617604618;0.015151515151515152;0.002886002886002886;0.00101010101010101;0.0004329004329004329;0.0002886002886002886;0.0002886002886002886;0.0
