"Perioden";"aantal"
"Hengelo (Gld.)";"2002";"8537"
"Hengelo (O.)";"2002";"80910"
"'s-Hertogenbosch";"2002";"131697"
"Heumen";"2002";"16595"
"Heusden";"2002";"43138"
"Heythuysen";"2002";"12080"
"Hillegom";"2002";"20845"
"Hilvarenbeek";"2002";"14851"
"Hilversum";"2002";"83096"
"Hof van Twente";"2002";"35041"
"Hontenisse";"2002";"8014"
"Hoogeveen";"2002";"53186"
"Hoogezand-Sappemeer";"2002";"33576"
"Hoorn";"2002";"66458"
"Horst aan de Maas";"2002";"28476"
"Houten";"2002";"38106"
"Huizen";"2002";"42230"
"Hulst";"2002";"19836"
"Hummelo en Keppel";"2002";"4516"
"Hunsel";"2002";"6177"
"IJsselstein";"2002";"32401"
"Jacobswoude";"2002";"10643"
"Kampen";"2002";"48394"
"Kapelle";"2002";"11575"
"Katwijk";"2002";"41307"
"Kerkrade";"2002";"50680"
"Kessel";"2002";"4194"
"Kesteren";"2002";"22191"
"Kollumerland en Nieuwkruisland";"2002";"13264"
"Korendijk";"2002";"10812"
"Krimpen aan den IJssel";"2002";"28944"
"Laarbeek";"2002";"21543"
"Landerd";"2002";"14516"
"Landgraaf";"2002";"40345"
"Landsmeer";"2002";"10296"
"Langedijk";"2002";"24724"
"Laren (NH.)";"2002";"11862"
"Leek";"2002";"19349"
"Leerdam";"2002";"21026"
"Leersum";"2002";"7424"
"Leeuwarden";"2002";"90516"
"Leeuwarderadeel";"2002";"10650"
"Leiden";"2002";"117170"
"Leiderdorp";"2002";"26709"
"Leidschendam-Voorburg";"2002";"74085"
"Lelystad";"2002";"66460"
"Lemsterland";"2002";"12957"
"Leusden";"2002";"29038"
"Lichtenvoorde";"2002";"19332"
"Liemeer";"2002";"6735"
"De Lier";"2002";"11338"
"Liesveld";"2002";"9697"
"Lingewaal";"2002";"10654"
"Lisse";"2002";"22051"
"Lith";"2002";"6757"
"Littenseradiel";"2002";"10821"
"Lochem";"2002";"19413"
"Loenen";"2002";"8408"
"Loon op Zand";"2002";"23058"
"Lopik";"2002";"13571"
"Loppersum";"2002";"11049"
"Losser";"2002";"22703"
"Maarn";"2002";"5800"
"Maarssen";"2002";"40134"
