"Perioden";"aantal"
"Aa en Hunze";"1998";"24806"
"Aalburg";"1998";"11529"
"Aalsmeer";"1998";"22600"
"Aalten";"1998";"18782"
"Ter Aar";"1998";"9163"
"Abcoude";"1998";"8410"
"Achtkarspelen";"1998";"28085"
"Akersloot";"1998";"4846"
"Alblasserdam";"1998";"17800"
"Albrandswaard";"1998";"15395"
"Alkemade";"1998";"14433"
"Alkmaar";"1998";"92960"
"Almelo";"1998";"65632"
"Almere";"1998";"126720"
"Alphen aan den Rijn";"1998";"68652"
"Alphen-Chaam";"1998";"9385"
"Ambt Delden";"1998";"5444"
"Ambt Montfort";"1998";"11090"
"Ameland";"1998";"3446"
"Amerongen";"1998";"7307"
"Amersfoort";"1998";"120512"
"Ammerzoden";"1998";"4466"
"Amstelveen";"1998";"77725"
"Amsterdam";"1998";"718151"
"Andijk";"1998";"6338"
"Angerlo";"1998";"4680"
"Anna Paulowna";"1998";"13483"
"Apeldoorn";"1998";"152354"
"Appingedam";"1998";"12267"
"Arcen en Velden";"1998";"9058"
"Arnhem";"1998";"136174"
"Assen";"1998";"56331"
"Asten";"1998";"15894"
"Avereest";"1998";"14971"
"Axel";"1998";"12111"
"Baarle-Nassau";"1998";"6079"
"Baarn";"1998";"24398"
"Barendrecht";"1998";"24796"
"Barneveld";"1998";"46868"
"Bathmen";"1998";"5241"
"Bedum";"1998";"10649"
"Beek (L.)";"1998";"17283"
"Beemster";"1998";"8303"
"Beesel";"1998";"13175"
"Belfeld";"1998";"5406"
"Bellingwedde";"1998";"9500"
"Bemmel";"1998";"16741"
"Bennebroek";"1998";"5131"
"Bergambacht";"1998";"9173"
"Bergen (L.)";"1998";"13382"
"Bergen (NH.)";"1998";"14125"
"Bergen op Zoom";"1998";"63983"
"Bergeyk";"1998";"17733"
"Bergh";"1998";"18362"
"Bergschenhoek";"1998";"9989"
"Berkel en Rodenrijs";"1998";"16076"
"Bernheze";"1998";"28291"
"Bernisse";"1998";"12502"
"Best";"1998";"24890"
"Beuningen";"1998";"24502"
"Beverwijk";"1998";"35603"
"het Bildt";"1998";"10085"
"De Bilt";"1998";"32703"
"Binnenmaas";"1998";"18982"
"Bladel";"1998";"18963"
"Blaricum";"1998";"9809"
"Bleiswijk";"1998";"9822"
"Bloemendaal";"1998";"16605"
"Boarnsterhim";"1998";"18073"
"Bodegraven";"1998";"19264"
"Boekel";"1998";"9057"
"Ten Boer";"1998";"7237"
"Bolsward";"1998";"9339"
"Borculo";"1998";"10259"
"Borger-Odoorn";"1998";"25857"
"Born";"1998";"14737"
"Borne";"1998";"22051"
"Borsele";"1998";"21757"
"Boskoop";"1998";"14916"
"Boxmeer";"1998";"28494"
"Boxtel";"1998";"29309"
"Brakel";"1998";"7034"
"Breda";"1998";"157057"
"Brederwiede";"1998";"12296"
"Breukelen";"1998";"14033"
"Brielle";"1998";"15842"
"Broekhuizen";"1998";"1928"
"Brummen";"1998";"21503"
"Brunssum";"1998";"30258"
"Budel";"1998";"20174"
"Bunnik";"1998";"14006"
"Bunschoten";"1998";"19179"
"Buren";"1998";"10114"
"Bussum";"1998";"31027"
"Capelle aan den IJssel";"1998";"63228"
"Castricum";"1998";"22896"
"Coevorden";"1998";"34497"
"Cromstrijen";"1998";"12622"
"Cuijk";"1998";"23547"
"Culemborg";"1998";"24375"
"Dalfsen";"1998";"17376"
"Dantumadeel";"1998";"19930"
"Delft";"1998";"94706"
"Delfzijl";"1998";"30016"
"Denekamp";"1998";"12300"
"Deurne";"1998";"32034"
"Deventer";"1998";"70665"
"Didam";"1998";"16584"
"Diemen";"1998";"23839"
"Diepenheim";"1998";"2744"
"Diepenveen";"1998";"10530"
"Dinxperlo";"1998";"8667"
"Dirksland";"1998";"7968"
"Dodewaard";"1998";"4306"
"Doesburg";"1998";"11092"
"Doetinchem";"1998";"45310"
"Dongen";"1998";"24295"
