"Perioden";"aantal"
"Dongeradeel";"1998";"24369"
"Doorn";"1998";"10080"
"Dordrecht";"1998";"118118"
"Drechterland";"1998";"9583"
"Driebergen-Rijsenburg";"1998";"18487"
"Dronten";"1998";"33448"
"Druten";"1998";"16222"
"Duiven";"1998";"24504"
"Echt";"1998";"19039"
"Echteld";"1998";"6689"
"Edam-Volendam";"1998";"26840"
"Ede";"1998";"101319"
"Eemnes";"1998";"8297"
"Eemsmond";"1998";"16316"
"Eersel";"1998";"18282"
"Egmond";"1998";"11435"
"Eibergen";"1998";"16491"
"Eijsden";"1998";"11873"
"Eindhoven";"1998";"198339"
"Elburg";"1998";"21621"
"Elst";"1998";"16613"
"Emmen";"1998";"105228"
"Enkhuizen";"1998";"16572"
"Enschede";"1998";"148360"
"Epe";"1998";"33244"
"Ermelo";"1998";"27008"
"Etten-Leur";"1998";"35700"
"Ferwerderadeel";"1998";"8739"
"Franekeradeel";"1998";"20144"
"Gaasterlân-Sleat";"1998";"9698"
"Geertruidenberg";"1998";"21035"
"Geldermalsen";"1998";"23610"
"Geldrop";"1998";"27194"
"Geleen";"1998";"33973"
"Gemert-Bakel";"1998";"27255"
"Gendringen";"1998";"20638"
"Gendt";"1998";"7217"
"Genemuiden";"1998";"8747"
"Gennep";"1998";"16868"
"Giessenlanden";"1998";"14105"
"Gilze en Rijen";"1998";"23850"
"Goedereede";"1998";"11114"
"Goes";"1998";"34959"
"Goirle";"1998";"22132"
"Goor";"1998";"12338"
"Gorinchem";"1998";"32654"
"Gorssel";"1998";"13248"
"Gouda";"1998";"71544"
"Graafstroom";"1998";"9503"
"Graft-De Rijp";"1998";"6188"
"Gramsbergen";"1998";"6413"
"Grave";"1998";"12492"
"'s-Graveland";"1998";"9363"
"'s-Gravendeel";"1998";"8672"
"'s-Gravenhage (gemeente)";"1998";"442799"
"'s-Gravenzande";"1998";"18777"
"Groenlo";"1998";"9121"
"Groesbeek";"1998";"19208"
"Groningen (gemeente)";"1998";"168752"
"Grootegast";"1998";"11531"
"Grubbenvorst";"1998";"6764"
"Gulpen";"1998";"7862"
"Haaksbergen";"1998";"23706"
"Haaren";"1998";"14000"
"Haarlem";"1998";"147839"
"Haarlemmerliede en Spaarnwoude";"1998";"5236"
"Haarlemmermeer";"1998";"108909"
"Haelen";"1998";"9873"
"Halderberge";"1998";"29367"
"Den Ham";"1998";"14847"
"Hardenberg";"1998";"34891"
"Harderwijk";"1998";"38441"
"Hardinxveld-Giessendam";"1998";"17594"
"Haren";"1998";"18725"
"Harenkarspel";"1998";"14771"
"Harlingen";"1998";"15356"
"Harmelen";"1998";"8032"
"Hasselt";"1998";"7525"
"Hattem";"1998";"11725"
"Hedel";"1998";"4375"
"Heel";"1998";"8384"
"Heemskerk";"1998";"34968"
"Heemstede";"1998";"26024"
"Heerde";"1998";"18146"
"Heerenveen";"1998";"39869"
"Heerewaarden";"1998";"1335"
"Heerhugowaard";"1998";"41720"
"Heerjansdam";"1998";"3548"
"Heerlen";"1998";"95685"
"Heeze-Leende";"1998";"15304"
"Heiloo";"1998";"21375"
"Heino";"1998";"7888"
"Helden";"1998";"19140"
"Den Helder";"1998";"60286"
"Hellendoorn";"1998";"35544"
"Hellevoetsluis";"1998";"37356"
"Helmond";"1998";"77616"
"Hendrik-Ido-Ambacht";"1998";"20786"
"Hengelo (Gld.)";"1998";"8425"
"Hengelo (O.)";"1998";"78306"
"'s-Hertogenbosch";"1998";"127352"
"Heteren";"1998";"8573"
"Heumen";"1998";"15361"
"Heusden";"1998";"41940"
"Heythuysen";"1998";"11993"
"Hillegom";"1998";"20480"
"Hilvarenbeek";"1998";"14452"
"Hilversum";"1998";"82297"
"Hoevelaken";"1998";"8508"
"Holten";"1998";"8761"
"Hontenisse";"1998";"7912"
"Hoogeveen";"1998";"52722"
"Hoogezand-Sappemeer";"1998";"33198"
"Hoorn";"1998";"62905"
"Horst";"1998";"19447"
"Houten";"1998";"31925"
"Huissen";"1998";"15596"
"Huizen";"1998";"41692"
"Hulst";"1998";"19517"
"Hummelo en Keppel";"1998";"4514"
"Hunsel";"1998";"5980"
"IJsselham";"1998";"5529"
"IJsselmuiden";"1998";"14536"
"IJsselstein";"1998";"25133"
"Jacobswoude";"1998";"10845"
"Kampen";"1998";"32161"
"Kapelle";"1998";"10948"
"Katwijk";"1998";"40582"
"Kerkrade";"1998";"52150"
"Kerkwijk";"1998";"6801"
"Kessel";"1998";"4135"
"Kesteren";"1998";"10698"
"Kollumerland en Nieuwkruisland";"1998";"12926"
"Korendijk";"1998";"10383"
"Krimpen aan den IJssel";"1998";"28198"
"Laarbeek";"1998";"21635"
"Landerd";"1998";"14192"
"Landgraaf";"1998";"41645"
"Landsmeer";"1998";"10361"
"Langedijk";"1998";"23208"
"Laren (NH.)";"1998";"11664"
"Leek";"1998";"18633"
"Leerdam";"1998";"20768"
"Leersum";"1998";"7255"
"Leeuwarden";"1998";"88551"
"Leeuwarderadeel";"1998";"10243"
"Leiden";"1998";"116972"
"Leiderdorp";"1998";"24086"
"Leidschendam";"1998";"34698"
"Lelystad";"1998";"60882"
"Lemsterland";"1998";"12279"
"Leusden";"1998";"27993"
"Lichtenvoorde";"1998";"18823"
"Liemeer";"1998";"6954"
"Lienden";"1998";"7897"
"De Lier";"1998";"11118"
"Liesveld";"1998";"9574"
"Limmen";"1998";"6411"
"Lingewaal";"1998";"10667"
"Lisse";"1998";"21942"
"Lith";"1998";"6553"
"Littenseradiel";"1998";"10559"
"Lochem";"1998";"18872"
"Loenen";"1998";"8538"
"Loon op Zand";"1998";"22494"
"Loosdrecht";"1998";"8854"
"Lopik";"1998";"13241"
"Loppersum";"1998";"11040"
"Losser";"1998";"22722"
"Maarn";"1998";"5876"
"Maarssen";"1998";"41052"
"Maartensdijk";"1998";"9421"
"Maasbracht";"1998";"13623"
"Maasbree";"1998";"12800"
"Maasdonk";"1998";"11372"
"Maasdriel";"1998";"9405"
"Maasland";"1998";"6730"
"Maassluis";"1998";"33046"
"Maastricht";"1998";"120179"
"Made";"1998";"26484"
"Margraten";"1998";"13814"
"Markelo";"1998";"7135"
"De Marne";"1998";"10934"
"Marum";"1998";"9642"
"Maurik";"1998";"6642"
"Medemblik";"1998";"7294"
"Meerlo-Wanssum";"1998";"7366"
"Meerssen";"1998";"20482"
"Meijel";"1998";"5649"
"Menaldumadeel";"1998";"13759"
"Menterwolde";"1998";"12362"
"Meppel";"1998";"29139"
"Middelburg (Z.)";"1998";"44440"
"Middelharnis";"1998";"16417"
"Middenveld";"1998";"32024"
"Mierlo";"1998";"10158"
"Mill en Sint Hubert";"1998";"10989"
"Millingen aan de Rijn";"1998";"5889"
"Monster";"1998";"20012"
"Montfoort";"1998";"13237"
"Mook en Middelaar";"1998";"7472"
"Moordrecht";"1998";"7498"
"Muiden";"1998";"6876"
"Naaldwijk";"1998";"28722"
"Naarden";"1998";"16807"
"Nederhorst den Berg";"1998";"5125"
"Nederlek";"1998";"14843"
"Nederweert";"1998";"15978"
"Neede";"1998";"11069"
"Neerijnen";"1998";"10895"
"Niedorp";"1998";"11345"
"Nieuwegein";"1998";"61241"
"Nieuwerkerk aan den IJssel";"1998";"20249"
"Nieuwkoop";"1998";"11051"
"Nieuw-Lekkerland";"1998";"9398"
"Nieuwleusen";"1998";"8270"
"Nijefurd";"1998";"10605"
"Nijkerk";"1998";"27164"
"Nijmegen";"1998";"150495"
"Noord-Beveland";"1998";"6889"
"Noordenveld";"1998";"30876"
"Noorder-Koggenland";"1998";"10291"
"Noordoostpolder";"1998";"41755"
"Noordwijk";"1998";"25241"
"Noordwijkerhout";"1998";"15475"
"Nootdorp";"1998";"9632"
"Nuenen, Gerwen en Nederwetten";"1998";"23382"
"Nunspeet";"1998";"26025"
"Nuth";"1998";"16744"
"Obdam";"1998";"6296"
"Oegstgeest";"1998";"20178"
"Oirschot";"1998";"17482"
"Oisterwijk";"1998";"25275"
"Oldebroek";"1998";"22135"
"Oldenzaal";"1998";"30670"
"Olst";"1998";"9311"
"Ommen";"1998";"16493"
"Onderbanken";"1998";"8536"
"Oostburg";"1998";"17819"
"Oosterhout";"1998";"51623"
"Oostflakkee";"1998";"10026"
"Ooststellingwerf";"1998";"25423"
"Oostzaan";"1998";"8581"
"Ootmarsum";"1998";"4472"
"Opmeer";"1998";"10592"
"Opsterland";"1998";"28565"
"Oss";"1998";"64582"
"Oud-Beijerland";"1998";"21812"
"Ouder-Amstel";"1998";"12041"
"Ouderkerk";"1998";"8214"
"Oudewater";"1998";"9847"
"Papendrecht";"1998";"28827"
"Pekela";"1998";"13233"
"Pijnacker";"1998";"20090"
"Purmerend";"1998";"66922"
"Putten";"1998";"22340"
"Raalte";"1998";"28281"
"Ravenstein";"1998";"8509"
"Reeuwijk";"1998";"12867"
"Reiderland";"1998";"6888"
"Reimerswaal";"1998";"20360"
"Renkum";"1998";"32070"
"Renswoude";"1998";"4008"
"Reusel-De Mierden";"1998";"12347"
"Rheden";"1998";"44311"
"Rhenen";"1998";"17050"
"Ridderkerk";"1998";"46725"
"Rijnsburg";"1998";"14441"
"Rijnwaarden";"1998";"10976"
"Rijnwoude";"1998";"19379"
"Rijssen";"1998";"26083"
"Rijswijk (ZH.)";"1998";"48488"
"Roerdalen";"1998";"10463"
"Roermond";"1998";"44128"
"Roggel en Neer";"1998";"8308"
"De Ronde Venen";"1998";"33957"
"Roosendaal";"1998";"73813"
"Rossum";"1998";"3186"
"Rotterdam";"1998";"590478"
"Rozenburg";"1998";"13767"
"Rozendaal";"1998";"1181"
"Rucphen";"1998";"22308"
"Ruurlo";"1998";"7989"
"Sas van Gent";"1998";"8691"
"Sassenheim";"1998";"14592"
"Schagen";"1998";"17287"
"Scheemda";"1998";"14337"
"Schermer";"1998";"4959"
"Scherpenzeel";"1998";"9123"
"Schiedam";"1998";"74910"
"Schiermonnikoog";"1998";"1003"
"Schijndel";"1998";"22307"
"Schinnen";"1998";"14029"
"Schipluiden";"1998";"10284"
"Schoonhoven";"1998";"11804"
"Schoorl";"1998";"6569"
"Schouwen-Duiveland";"1998";"32954"
"Sevenum";"1998";"7225"
"Simpelveld";"1998";"11684"
"Sint Anthonis";"1998";"11535"
"Sint-Michielsgestel";"1998";"27387"
"Sint-Oedenrode";"1998";"17023"
"Sittard";"1998";"49271"
"Skarsterlân";"1998";"26415"
"Sliedrecht";"1998";"23955"
"Slochteren";"1998";"14643"
"Sluis-Aardenburg";"1998";"6512"
"Smallingerland";"1998";"51092"
"Sneek";"1998";"30496"
"Soest";"1998";"43760"
"Someren";"1998";"18091"
"Son en Breugel";"1998";"14493"
"Spijkenisse";"1998";"71513"
"Stad Delden";"1998";"7344"
"Stadskanaal";"1998";"32906"
"Staphorst";"1998";"15178"
"Stede Broec";"1998";"20673"
"Steenbergen";"1998";"22978"
"Steenderen";"1998";"4855"
"Steenwijk";"1998";"22396"
"Stein (L.)";"1998";"26389"
"Strijen";"1998";"9318"
"Susteren";"1998";"13056"
"Swalmen";"1998";"8523"
"Tegelen";"1998";"19451"
"Terneuzen";"1998";"34712"
"Terschelling";"1998";"4776"
"Texel";"1998";"13378"
"Tholen";"1998";"23431"
"Thorn";"1998";"2651"
"Tiel";"1998";"36413"
"Tilburg";"1998";"185714"
"Tubbergen";"1998";"19793"
"Tytsjerksteradiel";"1998";"31062"
"Ubbergen";"1998";"9257"
"Uden";"1998";"38649"
"Uitgeest";"1998";"11052"
"Uithoorn";"1998";"25673"
"Urk";"1998";"15185"
"Utrecht (gemeente)";"1998";"232744"
"Vaals";"1998";"10864"
"Valburg";"1998";"12962"
"Valkenburg (ZH.)";"1998";"3566"
"Valkenburg aan de Geul";"1998";"18044"
"Valkenswaard";"1998";"31182"
"Veendam";"1998";"28476"
"Veenendaal";"1998";"58139"
"Veere";"1998";"22183"
"Veghel";"1998";"35355"
"Veldhoven";"1998";"41439"
"Velsen";"1998";"66157"
"Venhuizen";"1998";"7374"
"Venlo";"1998";"64411"
"Venray";"1998";"37143"
"Vianen";"1998";"19239"
"Vlaardingen";"1998";"74250"
"Vlagtwedde";"1998";"16082"
"Vleuten-De Meern";"1998";"19302"
"Vlieland";"1998";"1150"
"Vlissingen";"1998";"44754"
"Vlist";"1998";"9843"
"Voerendaal";"1998";"13127"
"Voorburg";"1998";"39099"
"Voorhout";"1998";"12097"
"Voorschoten";"1998";"22913"
"Voorst";"1998";"23601"
"Vorden";"1998";"8407"
"Vriezenveen";"1998";"19744"
"Vught";"1998";"25023"
"Waalre";"1998";"16045"
"Waalwijk";"1998";"44823"
"Waddinxveen";"1998";"26678"
"Wageningen";"1998";"32852"
"Warmond";"1998";"5327"
"Warnsveld";"1998";"9056"
"Wassenaar";"1998";"26144"
"Wateringen";"1998";"15168"
"Waterland";"1998";"17647"
"Weerselo";"1998";"9305"
"Weert";"1998";"47590"
"Weesp";"1998";"17964"
"Wehl";"1998";"6689"
"Werkendam";"1998";"25673"
"Wervershoof";"1998";"8400"
"West Maas en Waal";"1998";"17918"
"Wester-Koggenland";"1998";"13222"
"Westerveld";"1998";"18497"
"Westervoort";"1998";"16037"
"Weststellingwerf";"1998";"24759"
"Westvoorne";"1998";"13921"
"Wierden";"1998";"22946"
"Wieringen";"1998";"8398"
"Wieringermeer";"1998";"12005"
"Wijchen";"1998";"37437"
"Wijhe";"1998";"7494"
"Wijk bij Duurstede";"1998";"22876"
"Winschoten";"1998";"18766"
"Winsum";"1998";"13974"
"Winterswijk";"1998";"28516"
"Wisch";"1998";"19868"
"Wittem";"1998";"7807"
"Woensdrecht";"1998";"20870"
"Woerden";"1998";"37640"
"Wognum";"1998";"7732"
"De Wolden";"1998";"23310"
"Wormerland";"1998";"14785"
"Woudenberg";"1998";"10872"
"Woudrichem";"1998";"13907"
"Wûnseradiel";"1998";"11746"
"Wymbritseradiel";"1998";"15573"
"Zaanstad";"1998";"134627"
"Zaltbommel";"1998";"11086"
"Zandvoort";"1998";"15546"
"Zederik";"1998";"13546"
"Zeevang";"1998";"6196"
"Zeewolde";"1998";"15296"
"Zeist";"1998";"59216"
"Zelhem";"1998";"11319"
"Zevenaar";"1998";"26781"
"Zevenbergen";"1998";"36532"
"Zevenhuizen-Moerkapelle";"1998";"9968"
"Zijpe";"1998";"11203"
"Zoetermeer";"1998";"108199"
"Zoeterwoude";"1998";"8616"
"Zuidhorn";"1998";"17910"
"Zuidlaren";"1998";"31385"
"Zundert";"1998";"20014"
"Zutphen";"1998";"34024"
"Zwartsluis";"1998";"4466"
"Zwijndrecht";"1998";"41992"
"Zwolle";"1998";"102622"
