"Perioden";"aantal"
"Heerlen";"2017";"87189"
"Heeze-Leende";"2017";"15714"
"Heiloo";"2017";"22857"
"Den Helder";"2017";"56020"
"Hellendoorn";"2017";"35772"
"Hellevoetsluis";"2017";"38722"
"Helmond";"2017";"90602"
"Hendrik-Ido-Ambacht";"2017";"29731"
"Hengelo (O.)";"2017";"80802"
"'s-Hertogenbosch";"2017";"152411"
"Heumen";"2017";"16475"
"Heusden";"2017";"43516"
"Hillegom";"2017";"21316"
"Hilvarenbeek";"2017";"15283"
"Hilversum";"2017";"88888"
"Hof van Twente";"2017";"35011"
"Hollands Kroon";"2017";"47600"
"Hoogeveen";"2017";"55311"
"Hoogezand-Sappemeer";"2017";"34232"
"Hoorn";"2017";"72493"
"Horst aan de Maas";"2017";"42139"
"Houten";"2017";"49300"
"Huizen";"2017";"41382"
"Hulst";"2017";"27395"
"IJsselstein";"2017";"34208"
"Kaag en Braassem";"2017";"26374"
"Kampen";"2017";"52511"
"Kapelle";"2017";"12622"
"Katwijk";"2017";"64532"
"Kerkrade";"2017";"45937"
"Koggenland";"2017";"22522"
"Kollumerland en Nieuwkruisland";"2017";"12872"
"Korendijk";"2017";"10959"
"Krimpen aan den IJssel";"2017";"29123"
"Krimpenerwaard";"2017";"55204"
"Laarbeek";"2017";"21942"
"Landerd";"2017";"15332"
"Landgraaf";"2017";"37458"
"Landsmeer";"2017";"11275"
"Langedijk";"2017";"27608"
"Lansingerland";"2017";"60105"
"Laren (NH.)";"2017";"11088"
"Leek";"2017";"19643"
"Leerdam";"2017";"20905"
"Leeuwarden";"2017";"108667"
"Leeuwarderadeel";"2017";"10108"
"Leiden";"2017";"123661"
"Leiderdorp";"2017";"27128"
"Leidschendam-Voorburg";"2017";"74604"
"Lelystad";"2017";"76937"
"Leudal";"2017";"35878"
"Leusden";"2017";"29677"
"Lingewaal";"2017";"11158"
"Lingewaard";"2017";"46182"
"Lisse";"2017";"22717"
"Littenseradiel";"2017";"10746"
"Lochem";"2017";"33545"
"Loon op Zand";"2017";"23093"
"Lopik";"2017";"14208"
"Loppersum";"2017";"9914"
"Losser";"2017";"22482"
"Maasdriel";"2017";"24250"
"Maasgouw";"2017";"23774"
"Maassluis";"2017";"32450"
"Maastricht";"2017";"122753"
"De Marne";"2017";"10088"
"Marum";"2017";"10388"
"Medemblik";"2017";"44058"
"Meerssen";"2017";"19072"
"Meierijstad";"2017";"79869"
"Menameradiel";"2017";"13454"
"Menterwolde";"2017";"12162"
"Meppel";"2017";"33025"
"Middelburg (Z.)";"2017";"48019"
"Midden-Delfland";"2017";"19034"
"Midden-Drenthe";"2017";"33399"
"Mill en Sint Hubert";"2017";"10807"
"Moerdijk";"2017";"36944"
"Molenwaard";"2017";"29212"
"Montferland";"2017";"35316"
"Montfoort";"2017";"13866"
"Mook en Middelaar";"2017";"7775"
"Neder-Betuwe";"2017";"23303"
"Nederweert";"2017";"16864"
"Neerijnen";"2017";"12344"
"Nieuwegein";"2017";"61868"
"Nieuwkoop";"2017";"27914"
"Nijkerk";"2017";"41775"
"Nijmegen";"2017";"173556"
"Nissewaard";"2017";"85401"
"Noord-Beveland";"2017";"7382"
"Noordenveld";"2017";"32981"
"Noordoostpolder";"2017";"46544"
"Noordwijk";"2017";"25867"
"Noordwijkerhout";"2017";"16318"
"Nuenen, Gerwen en Nederwetten";"2017";"22866"
"Nunspeet";"2017";"26892"
"Nuth";"2017";"15305"
"Oegstgeest";"2017";"23608"
"Oirschot";"2017";"18499"
"Oisterwijk";"2017";"25936"
"Oldambt";"2017";"38108"
"Oldebroek";"2017";"23256"
"Oldenzaal";"2017";"32006"
"Olst-Wijhe";"2017";"17957"
"Ommen";"2017";"17531"
"Onderbanken";"2017";"7865"
"Oost Gelre";"2017";"29634"
"Oosterhout";"2017";"54604"
"Ooststellingwerf";"2017";"25540"
"Oostzaan";"2017";"9652"
"Opmeer";"2017";"11420"
"Opsterland";"2017";"29718"
"Oss";"2017";"90376"
"Oud-Beijerland";"2017";"24015"
"Oude IJsselstreek";"2017";"39568"
"Ouder-Amstel";"2017";"13419"
"Oudewater";"2017";"10187"
"Overbetuwe";"2017";"47394"
"Papendrecht";"2017";"32292"
"Peel en Maas";"2017";"43347"
"Pekela";"2017";"12517"
"Pijnacker-Nootdorp";"2017";"52656"
"Purmerend";"2017";"79928"
"Putten";"2017";"24428"
"Raalte";"2017";"36907"
"Reimerswaal";"2017";"22356"
"Renkum";"2017";"31391"
"Renswoude";"2017";"5101"
"Reusel-De Mierden";"2017";"12908"
"Rheden";"2017";"43645"
"Rhenen";"2017";"19597"
"Ridderkerk";"2017";"45408"
"Rijnwaarden";"2017";"10852"
"Rijssen-Holten";"2017";"37983"
"Rijswijk (ZH.)";"2017";"51027"
"Roerdalen";"2017";"20700"
"Roermond";"2017";"57390"
"De Ronde Venen";"2017";"42763"
"Roosendaal";"2017";"77163"
"Rotterdam";"2017";"634660"
"Rozendaal";"2017";"1498"
"Rucphen";"2017";"22345"
"Schagen";"2017";"46193"
"Scherpenzeel";"2017";"9704"
"Schiedam";"2017";"77838"
"Schiermonnikoog";"2017";"941"
"Schinnen";"2017";"12954"
"Schouwen-Duiveland";"2017";"33765"
"Simpelveld";"2017";"10571"
"Sint Anthonis";"2017";"11594"
"Sint-Michielsgestel";"2017";"28584"
"Sittard-Geleen";"2017";"93319"
"Sliedrecht";"2017";"25012"
"Slochteren";"2017";"14737"
"Sluis";"2017";"23658"
"Smallingerland";"2017";"55695"
"Soest";"2017";"45874"
"Someren";"2017";"19036"
"Son en Breugel";"2017";"16626"
"Stadskanaal";"2017";"32252"
"Staphorst";"2017";"16691"
"Stede Broec";"2017";"21552"
"Steenbergen";"2017";"23970"
"Steenwijkerland";"2017";"43448"
"Stein (L.)";"2017";"25059"
"Stichtse Vecht";"2017";"64450"
"Strijen";"2017";"8785"
"Súdwest-Fryslân";"2017";"84158"
"Terneuzen";"2017";"54588"
"Terschelling";"2017";"4859"
"Texel";"2017";"13545"
"Teylingen";"2017";"36093"
"Tholen";"2017";"25527"
"Tiel";"2017";"41488"
"Tilburg";"2017";"213804"
"Tubbergen";"2017";"21153"
"Twenterand";"2017";"33845"
"Tynaarlo";"2017";"33280"
"Tytsjerksteradiel";"2017";"31963"
"Uden";"2017";"41384"
"Uitgeest";"2017";"13465"
"Uithoorn";"2017";"29201"
"Urk";"2017";"20220"
"Utrecht (gemeente)";"2017";"343038"
"Utrechtse Heuvelrug";"2017";"49035"
"Vaals";"2017";"9710"
"Valkenburg aan de Geul";"2017";"16440"
"Valkenswaard";"2017";"30516"
"Veendam";"2017";"27527"
"Veenendaal";"2017";"64277"
"Veere";"2017";"21900"
"Veldhoven";"2017";"44724"
"Velsen";"2017";"67619"
"Venlo";"2017";"101059"
"Venray";"2017";"43565"
"Vianen";"2017";"19714"
"Vlaardingen";"2017";"71999"
"Vlagtwedde";"2017";"15908"
"Vlieland";"2017";"1085"
"Vlissingen";"2017";"44394"
"Voerendaal";"2017";"12462"
"Voorschoten";"2017";"25315"
"Voorst";"2017";"24199"
"Vught";"2017";"26183"
"Waalre";"2017";"16898"
"Waalwijk";"2017";"47410"
"Waddinxveen";"2017";"26536"
"Wageningen";"2017";"38458"
"Wassenaar";"2017";"26055"
"Waterland";"2017";"17290"
"Weert";"2017";"49574"
"Weesp";"2017";"18751"
"Werkendam";"2017";"26844"
"West Maas en Waal";"2017";"18820"
"Westerveld";"2017";"19084"
"Westervoort";"2017";"14991"
"Westland";"2017";"105632"
"Weststellingwerf";"2017";"25608"
"Westvoorne";"2017";"14257"
"Wierden";"2017";"24225"
"Wijchen";"2017";"40876"
"Wijdemeren";"2017";"23447"
"Wijk bij Duurstede";"2017";"23502"
"Winsum";"2017";"13596"
"Winterswijk";"2017";"28912"
"Woensdrecht";"2017";"21837"
"Woerden";"2017";"51513"
"De Wolden";"2017";"23744"
"Wormerland";"2017";"15820"
"Woudenberg";"2017";"12701"
"Woudrichem";"2017";"14539"
"Zaanstad";"2017";"153679"
"Zaltbommel";"2017";"27728"
"Zandvoort";"2017";"16899"
"Zederik";"2017";"13842"
"Zeewolde";"2017";"22457"
"Zeist";"2017";"62830"
"Zevenaar";"2017";"32379"
"Zoetermeer";"2017";"124763"
"Zoeterwoude";"2017";"8367"
"Zuidhorn";"2017";"18859"
"Zuidplas";"2017";"41468"
"Zundert";"2017";"21657"
"Zutphen";"2017";"47340"
"Zwartewaterland";"2017";"22309"
"Zwijndrecht";"2017";"44417"
"Zwolle";"2017";"125548"
