"Perioden";"aantal"
"Aa en Hunze";"2017";"25286"
"Aalburg";"2017";"13067"
"Aalsmeer";"2017";"31373"
"Aalten";"2017";"27047"
"Achtkarspelen";"2017";"27893"
"Alblasserdam";"2017";"20008"
"Albrandswaard";"2017";"25105"
"Alkmaar";"2017";"108373"
"Almelo";"2017";"72479"
"Almere";"2017";"200914"
"Alphen aan den Rijn";"2017";"108915"
"Alphen-Chaam";"2017";"10058"
"Ameland";"2017";"3633"
"Amersfoort";"2017";"154337"
"Amstelveen";"2017";"89294"
"Amsterdam";"2017";"844947"
"Apeldoorn";"2017";"160047"
"Appingedam";"2017";"11971"
"Arnhem";"2017";"155699"
"Assen";"2017";"67551"
"Asten";"2017";"16714"
"Baarle-Nassau";"2017";"6657"
"Baarn";"2017";"24529"
"Barendrecht";"2017";"48344"
"Barneveld";"2017";"56376"
"Bedum";"2017";"10479"
"Beek (L.)";"2017";"15951"
"Beemster";"2017";"9205"
"Beesel";"2017";"13405"
"Bellingwedde";"2017";"8919"
"Berg en Dal";"2017";"34764"
"Bergeijk";"2017";"18342"
"Bergen (L.)";"2017";"13095"
"Bergen (NH.)";"2017";"29844"
"Bergen op Zoom";"2017";"66164"
"Berkelland";"2017";"44238"
"Bernheze";"2017";"30252"
"Best";"2017";"29180"
"Beuningen";"2017";"25424"
"Beverwijk";"2017";"40709"
"het Bildt";"2017";"10493"
"De Bilt";"2017";"42754"
"Binnenmaas";"2017";"29122"
"Bladel";"2017";"20063"
"Blaricum";"2017";"10201"
"Bloemendaal";"2017";"22826"
"Bodegraven-Reeuwijk";"2017";"33733"
"Boekel";"2017";"10414"
"Ten Boer";"2017";"7288"
"Borger-Odoorn";"2017";"25355"
"Borne";"2017";"22795"
"Borsele";"2017";"22688"
"Boxmeer";"2017";"28709"
"Boxtel";"2017";"30655"
"Breda";"2017";"182304"
"Brielle";"2017";"16833"
"Bronckhorst";"2017";"36410"
"Brummen";"2017";"20843"
"Brunssum";"2017";"28358"
"Bunnik";"2017";"15156"
"Bunschoten";"2017";"21020"
"Buren";"2017";"26348"
"Capelle aan den IJssel";"2017";"66421"
"Castricum";"2017";"35216"
"Coevorden";"2017";"35286"
"Cranendonck";"2017";"20676"
"Cromstrijen";"2017";"12797"
"Cuijk";"2017";"24696"
"Culemborg";"2017";"27864"
"Dalfsen";"2017";"28070"
"Dantumadiel";"2017";"18942"
"Delft";"2017";"101381"
"Delfzijl";"2017";"24965"
"Deurne";"2017";"31933"
"Deventer";"2017";"99295"
"Diemen";"2017";"27272"
"Dinkelland";"2017";"26244"
"Doesburg";"2017";"11341"
"Doetinchem";"2017";"57068"
"Dongen";"2017";"25509"
"Dongeradeel";"2017";"23901"
"Dordrecht";"2017";"118731"
"Drechterland";"2017";"19384"
"Drimmelen";"2017";"26869"
"Dronten";"2017";"40746"
"Druten";"2017";"18563"
"Duiven";"2017";"25398"
"Echt-Susteren";"2017";"31815"
"Edam-Volendam";"2017";"35800"
"Ede";"2017";"113421"
"Eemnes";"2017";"8999"
"Eemsmond";"2017";"15656"
"Eersel";"2017";"18554"
"Eijsden-Margraten";"2017";"25297"
"Eindhoven";"2017";"226868"
"Elburg";"2017";"23026"
"Emmen";"2017";"107490"
"Enkhuizen";"2017";"18479"
"Enschede";"2017";"158140"
"Epe";"2017";"32537"
"Ermelo";"2017";"26590"
"Etten-Leur";"2017";"43027"
"Ferwerderadiel";"2017";"8735"
"Franekeradeel";"2017";"20215"
"De Fryske Marren";"2017";"51585"
"Geertruidenberg";"2017";"21504"
"Geldermalsen";"2017";"26587"
"Geldrop-Mierlo";"2017";"39078"
"Gemert-Bakel";"2017";"30024"
"Gennep";"2017";"17129"
"Giessenlanden";"2017";"14596"
"Gilze en Rijen";"2017";"26220"
"Goeree-Overflakkee";"2017";"48653"
"Goes";"2017";"37274"
"Goirle";"2017";"23317"
"Gooise Meren";"2017";"56935"
"Gorinchem";"2017";"35755"
"Gouda";"2017";"71752"
"Grave";"2017";"12370"
"'s-Gravenhage (gemeente)";"2017";"524882"
"Groningen (gemeente)";"2017";"202636"
"Grootegast";"2017";"12166"
"Gulpen-Wittem";"2017";"14337"
"Haaksbergen";"2017";"24272"
"Haaren";"2017";"13912"
"Haarlem";"2017";"159229"
"Haarlemmerliede en Spaarnwoude";"2017";"5665"
"Haarlemmermeer";"2017";"146003"
"Halderberge";"2017";"29579"
"Hardenberg";"2017";"60211"
"Harderwijk";"2017";"46352"
"Hardinxveld-Giessendam";"2017";"17872"
"Haren";"2017";"19570"
"Harlingen";"2017";"15860"
"Hattem";"2017";"12040"
"Heemskerk";"2017";"39171"
"Heemstede";"2017";"26936"
"Heerde";"2017";"18561"
"Heerenveen";"2017";"50203"
"Heerhugowaard";"2017";"54950"
