"Perioden";"aantal"
"Heerenveen";"2012";"43514"
"Heerhugowaard";"2012";"52483"
"Heerlen";"2012";"89016"
"Heeze-Leende";"2012";"15352"
"Heiloo";"2012";"22650"
"Den Helder";"2012";"57065"
"Hellendoorn";"2012";"35796"
"Hellevoetsluis";"2012";"39442"
"Helmond";"2012";"88801"
"Hendrik-Ido-Ambacht";"2012";"28257"
"Hengelo (O.)";"2012";"80939"
"'s-Hertogenbosch";"2012";"141893"
"Heumen";"2012";"16413"
"Heusden";"2012";"43112"
"Hillegom";"2012";"20831"
"Hilvarenbeek";"2012";"15047"
"Hilversum";"2012";"85537"
"Hof van Twente";"2012";"35599"
"Hollands Kroon";"2012";"47703"
"Hoogeveen";"2012";"54889"
"Hoogezand-Sappemeer";"2012";"34778"
"Hoorn";"2012";"71254"
"Horst aan de Maas";"2012";"41917"
"Houten";"2012";"48309"
"Huizen";"2012";"41574"
"Hulst";"2012";"27632"
"IJsselstein";"2012";"34271"
"Kaag en Braassem";"2012";"25737"
"Kampen";"2012";"50705"
"Kapelle";"2012";"12398"
"Katwijk";"2012";"62476"
"Kerkrade";"2012";"47280"
"Koggenland";"2012";"22345"
"Kollumerland en Nieuwkruisland";"2012";"12906"
"Korendijk";"2012";"10801"
"Krimpen aan den IJssel";"2012";"28692"
"Laarbeek";"2012";"21608"
"Landerd";"2012";"15066"
"Landgraaf";"2012";"38067"
"Landsmeer";"2012";"10334"
"Langedijk";"2012";"26991"
"Lansingerland";"2012";"55265"
"Laren (NH.)";"2012";"11360"
"Leek";"2012";"19467"
"Leerdam";"2012";"20664"
"Leeuwarden";"2012";"95321"
"Leeuwarderadeel";"2012";"10332"
"Leiden";"2012";"118748"
"Leiderdorp";"2012";"26706"
"Leidschendam-Voorburg";"2012";"72405"
"Lelystad";"2012";"75312"
"Lemsterland";"2012";"13564"
"Leudal";"2012";"36462"
"Leusden";"2012";"28905"
"Liesveld";"2012";"9787"
"Lingewaal";"2012";"10895"
"Lingewaard";"2012";"45770"
"Lisse";"2012";"22511"
"Littenseradiel";"2012";"10925"
"Lochem";"2012";"33263"
"Loon op Zand";"2012";"23071"
"Lopik";"2012";"14050"
"Loppersum";"2012";"10366"
"Losser";"2012";"22673"
"Maasdonk";"2012";"11259"
"Maasdriel";"2012";"24022"
"Maasgouw";"2012";"24095"
"Maassluis";"2012";"31849"
"Maastricht";"2012";"121050"
"De Marne";"2012";"10428"
"Marum";"2012";"10413"
"Medemblik";"2012";"43117"
"Meerssen";"2012";"19430"
"Menameradiel";"2012";"13773"
"Menterwolde";"2012";"12358"
"Meppel";"2012";"32573"
"Middelburg (Z.)";"2012";"47768"
"Middelharnis";"2012";"18049"
"Midden-Delfland";"2012";"18225"
"Midden-Drenthe";"2012";"33558"
"Mill en Sint Hubert";"2012";"10926"
"Millingen aan de Rijn";"2012";"5903"
"Moerdijk";"2012";"36522"
"Montferland";"2012";"35043"
"Montfoort";"2012";"13601"
"Mook en Middelaar";"2012";"7874"
"Muiden";"2012";"6466"
"Naarden";"2012";"17163"
"Neder-Betuwe";"2012";"22614"
"Nederlek";"2012";"13992"
"Nederweert";"2012";"16771"
"Neerijnen";"2012";"11930"
"Nieuwegein";"2012";"60720"
"Nieuwkoop";"2012";"26974"
"Nieuw-Lekkerland";"2012";"9520"
"Nijkerk";"2012";"40126"
"Nijmegen";"2012";"165182"
"Noord-Beveland";"2012";"7522"
"Noordenveld";"2012";"30955"
"Noordoostpolder";"2012";"46342"
"Noordwijk";"2012";"25517"
"Noordwijkerhout";"2012";"15648"
"Nuenen, Gerwen en Nederwetten";"2012";"22548"
"Nunspeet";"2012";"26609"
"Nuth";"2012";"15644"
"Oegstgeest";"2012";"22788"
"Oirschot";"2012";"17861"
"Oisterwijk";"2012";"25775"
"Oldambt";"2012";"39095"
"Oldebroek";"2012";"22716"
"Oldenzaal";"2012";"32176"
"Olst-Wijhe";"2012";"17659"
"Ommen";"2012";"17380"
"Onderbanken";"2012";"7966"
"Oost Gelre";"2012";"30005"
"Oosterhout";"2012";"54006"
"Oostflakkee";"2012";"10407"
"Ooststellingwerf";"2012";"25858"
"Oostzaan";"2012";"9097"
"Opmeer";"2012";"11393"
"Opsterland";"2012";"29952"
"Oss";"2012";"84639"
"Oud-Beijerland";"2012";"23415"
"Oude IJsselstreek";"2012";"39839"
"Ouder-Amstel";"2012";"13232"
"Ouderkerk";"2012";"8049"
"Oudewater";"2012";"9850"
"Overbetuwe";"2012";"46269"
"Papendrecht";"2012";"32032"
"Peel en Maas";"2012";"43271"
"Pekela";"2012";"12868"
"Pijnacker-Nootdorp";"2012";"50103"
"Purmerend";"2012";"79266"
"Putten";"2012";"23860"
"Raalte";"2012";"36603"
"Reimerswaal";"2012";"21704"
"Renkum";"2012";"31630"
"Renswoude";"2012";"4822"
"Reusel-De Mierden";"2012";"12654"
"Rheden";"2012";"43612"
"Rhenen";"2012";"19064"
"Ridderkerk";"2012";"45208"
"Rijnwaarden";"2012";"11008"
"Rijnwoude";"2012";"18618"
"Rijssen-Holten";"2012";"37561"
"Rijswijk (ZH.)";"2012";"46990"
"Roerdalen";"2012";"21092"
"Roermond";"2012";"56165"
"De Ronde Venen";"2012";"42977"
"Roosendaal";"2012";"77426"
"Rotterdam";"2012";"616260"
"Rozendaal";"2012";"1514"
"Rucphen";"2012";"22320"
"Schagen";"2012";"18653"
"Schermer";"2012";"5456"
"Scherpenzeel";"2012";"9354"
"Schiedam";"2012";"76244"
"Schiermonnikoog";"2012";"932"
"Schijndel";"2012";"23016"
"Schinnen";"2012";"13202"
"Schoonhoven";"2012";"11814"
"Schouwen-Duiveland";"2012";"34151"
"Simpelveld";"2012";"10914"
"Sint Anthonis";"2012";"11803"
"Sint-Michielsgestel";"2012";"28128"
"Sint-Oedenrode";"2012";"17910"
"Sittard-Geleen";"2012";"94535"
"Skarsterlân";"2012";"27520"
"Sliedrecht";"2012";"24232"
"Slochteren";"2012";"15536"
"Sluis";"2012";"23892"
"Smallingerland";"2012";"55456"
"Soest";"2012";"45612"
"Someren";"2012";"18580"
"Son en Breugel";"2012";"15822"
"Spijkenisse";"2012";"72171"
"Stadskanaal";"2012";"32998"
"Staphorst";"2012";"16224"
"Stede Broec";"2012";"21468"
"Steenbergen";"2012";"23354"
"Steenwijkerland";"2012";"43402"
"Stein (L.)";"2012";"25623"
"Stichtse Vecht";"2012";"63315"
"Strijen";"2012";"8848"
"Súdwest-Fryslân";"2012";"82634"
"Terneuzen";"2012";"54742"
"Terschelling";"2012";"4748"
"Texel";"2012";"13668"
"Teylingen";"2012";"35686"
"Tholen";"2012";"25540"
"Tiel";"2012";"41527"
"Tilburg";"2012";"207580"
"Tubbergen";"2012";"21206"
"Twenterand";"2012";"33929"
"Tynaarlo";"2012";"32357"
"Tytsjerksteradiel";"2012";"32164"
"Ubbergen";"2012";"9387"
"Uden";"2012";"40805"
"Uitgeest";"2012";"12897"
"Uithoorn";"2012";"28307"
"Urk";"2012";"18950"
"Utrecht (gemeente)";"2012";"316275"
"Utrechtse Heuvelrug";"2012";"48267"
"Vaals";"2012";"9749"
"Valkenburg aan de Geul";"2012";"16945"
"Valkenswaard";"2012";"30666"
"Veendam";"2012";"27920"
"Veenendaal";"2012";"62870"
"Veere";"2012";"21959"
"Veghel";"2012";"37553"
"Veldhoven";"2012";"43880"
"Velsen";"2012";"67286"
"Venlo";"2012";"100027"
"Venray";"2012";"42959"
"Vianen";"2012";"19670"
"Vlaardingen";"2012";"71042"
"Vlagtwedde";"2012";"16260"
"Vlieland";"2012";"1105"
"Vlissingen";"2012";"44502"
"Vlist";"2012";"9773"
"Voerendaal";"2012";"12664"
"Voorschoten";"2012";"24310"
"Voorst";"2012";"23719"
"Vught";"2012";"25789"
"Waalre";"2012";"16503"
"Waalwijk";"2012";"46422"
"Waddinxveen";"2012";"25280"
"Wageningen";"2012";"37049"
"Wassenaar";"2012";"25762"
"Waterland";"2012";"17010"
"Weert";"2012";"48668"
"Weesp";"2012";"18022"
"Werkendam";"2012";"26423"
"West Maas en Waal";"2012";"18325"
"Westerveld";"2012";"19198"
"Westervoort";"2012";"15294"
"Westland";"2012";"101980"
"Weststellingwerf";"2012";"25780"
"Westvoorne";"2012";"13901"
"Wierden";"2012";"23824"
"Wijchen";"2012";"40734"
"Wijdemeren";"2012";"23297"
"Wijk bij Duurstede";"2012";"23064"
"Winsum";"2012";"13987"
"Winterswijk";"2012";"28946"
"Woensdrecht";"2012";"21675"
"Woerden";"2012";"50052"
"De Wolden";"2012";"23753"
"Wormerland";"2012";"15781"
"Woudenberg";"2012";"12034"
"Woudrichem";"2012";"14416"
"Zaanstad";"2012";"148281"
"Zaltbommel";"2012";"26774"
"Zandvoort";"2012";"16651"
"Zederik";"2012";"13434"
"Zeevang";"2012";"6344"
"Zeewolde";"2012";"21288"
"Zeist";"2012";"61233"
"Zevenaar";"2012";"32429"
"Zijpe";"2012";"11589"
"Zoetermeer";"2012";"122331"
"Zoeterwoude";"2012";"8171"
"Zuidhorn";"2012";"18681"
"Zuidplas";"2012";"40673"
"Zundert";"2012";"21221"
"Zutphen";"2012";"47144"
"Zwartewaterland";"2012";"22048"
"Zwijndrecht";"2012";"44499"
"Zwolle";"2012";"121527"
