"Perioden";"aantal"
"Aa en Hunze";"2012";"25738"
"Aalburg";"2012";"12749"
"Aalsmeer";"2012";"30364"
"Aalten";"2012";"27305"
"Achtkarspelen";"2012";"28091"
"Alblasserdam";"2012";"19467"
"Albrandswaard";"2012";"25003"
"Alkmaar";"2012";"94269"
"Almelo";"2012";"72757"
"Almere";"2012";"193163"
"Alphen aan den Rijn";"2012";"72853"
"Alphen-Chaam";"2012";"9525"
"Ameland";"2012";"3526"
"Amersfoort";"2012";"148250"
"Amstelveen";"2012";"83363"
"Amsterdam";"2012";"790110"
"Apeldoorn";"2012";"156961"
"Appingedam";"2012";"12053"
"Arnhem";"2012";"149271"
"Assen";"2012";"67208"
"Asten";"2012";"16404"
"Baarle-Nassau";"2012";"6722"
"Baarn";"2012";"24352"
"Barendrecht";"2012";"47053"
"Barneveld";"2012";"53521"
"Bedum";"2012";"10508"
"Beek (L.)";"2012";"16457"
"Beemster";"2012";"8719"
"Beesel";"2012";"13742"
"Bellingwedde";"2012";"9283"
"Bergambacht";"2012";"9908"
"Bergeijk";"2012";"18123"
"Bergen (L.)";"2012";"13286"
"Bergen (NH.)";"2012";"30682"
"Bergen op Zoom";"2012";"66130"
"Berkelland";"2012";"44911"
"Bernheze";"2012";"29802"
"Bernisse";"2012";"12426"
"Best";"2012";"28696"
"Beuningen";"2012";"25433"
"Beverwijk";"2012";"39844"
"het Bildt";"2012";"10798"
"De Bilt";"2012";"42079"
"Binnenmaas";"2012";"28962"
"Bladel";"2012";"19582"
"Blaricum";"2012";"9038"
"Bloemendaal";"2012";"22056"
"Boarnsterhim";"2012";"19380"
"Bodegraven-Reeuwijk";"2012";"32834"
"Boekel";"2012";"9967"
"Ten Boer";"2012";"7477"
"Borger-Odoorn";"2012";"25859"
"Borne";"2012";"21586"
"Borsele";"2012";"22676"
"Boskoop";"2012";"15087"
"Boxmeer";"2012";"28397"
"Boxtel";"2012";"30284"
"Breda";"2012";"176401"
"Brielle";"2012";"16072"
"Bronckhorst";"2012";"37441"
"Brummen";"2012";"21327"
"Brunssum";"2012";"29199"
"Bunnik";"2012";"14451"
"Bunschoten";"2012";"20200"
"Buren";"2012";"25949"
"Bussum";"2012";"32585"
"Capelle aan den IJssel";"2012";"66122"
"Castricum";"2012";"34474"
"Coevorden";"2012";"35881"
"Cranendonck";"2012";"20432"
"Cromstrijen";"2012";"12780"
"Cuijk";"2012";"24648"
"Culemborg";"2012";"27632"
"Dalfsen";"2012";"27432"
"Dantumadiel";"2012";"19264"
"Delft";"2012";"98675"
"Delfzijl";"2012";"26305"
"Deurne";"2012";"31762"
"Deventer";"2012";"98672"
"Diemen";"2012";"24935"
"Dinkelland";"2012";"26073"
"Dirksland";"2012";"8476"
"Doesburg";"2012";"11598"
"Doetinchem";"2012";"56252"
"Dongen";"2012";"25205"
"Dongeradeel";"2012";"24284"
"Dordrecht";"2012";"118862"
"Drechterland";"2012";"19300"
"Drimmelen";"2012";"26664"
"Dronten";"2012";"40470"
"Druten";"2012";"18193"
"Duiven";"2012";"25525"
"Echt-Susteren";"2012";"32165"
"Edam-Volendam";"2012";"28700"
"Ede";"2012";"108763"
"Eemnes";"2012";"8824"
"Eemsmond";"2012";"16235"
"Eersel";"2012";"18166"
"Eijsden-Margraten";"2012";"24994"
"Eindhoven";"2012";"217225"
"Elburg";"2012";"22416"
"Emmen";"2012";"108838"
"Enkhuizen";"2012";"18268"
"Enschede";"2012";"158048"
"Epe";"2012";"32519"
"Ermelo";"2012";"26127"
"Etten-Leur";"2012";"42048"
"Ferwerderadiel";"2012";"8837"
"Franekeradeel";"2012";"20512"
"Gaasterlân-Sleat";"2012";"10194"
"Geertruidenberg";"2012";"21471"
"Geldermalsen";"2012";"26334"
"Geldrop-Mierlo";"2012";"38671"
"Gemert-Bakel";"2012";"29041"
"Gennep";"2012";"17367"
"Giessenlanden";"2012";"14508"
"Gilze en Rijen";"2012";"25589"
"Goedereede";"2012";"11380"
"Goes";"2012";"36921"
"Goirle";"2012";"22805"
"Gorinchem";"2012";"35083"
"Gouda";"2012";"71235"
"Graafstroom";"2012";"9795"
"Graft-De Rijp";"2012";"6436"
"Grave";"2012";"12799"
"'s-Gravenhage (gemeente)";"2012";"502055"
"Groesbeek";"2012";"18884"
"Groningen (gemeente)";"2012";"193127"
"Grootegast";"2012";"12275"
"Gulpen-Wittem";"2012";"14479"
"Haaksbergen";"2012";"24419"
"Haaren";"2012";"13621"
"Haarlem";"2012";"151818"
"Haarlemmerliede en Spaarnwoude";"2012";"5474"
"Haarlemmermeer";"2012";"143943"
"Halderberge";"2012";"29325"
"Hardenberg";"2012";"59430"
"Harderwijk";"2012";"45429"
"Hardinxveld-Giessendam";"2012";"17654"
"Haren";"2012";"18457"
"Harenkarspel";"2012";"16194"
"Harlingen";"2012";"15844"
"Hattem";"2012";"11805"
"Heemskerk";"2012";"39268"
"Heemstede";"2012";"26242"
"Heerde";"2012";"18244"
