"Perioden";"aantal"
"Aa en Hunze";"2010";"25563"
"Aalburg";"2010";"12614"
"Aalsmeer";"2010";"29187"
"Aalten";"2010";"27500"
"Abcoude";"2010";"8764"
"Achtkarspelen";"2010";"28088"
"Alblasserdam";"2010";"19014"
"Albrandswaard";"2010";"24191"
"Alkmaar";"2010";"93861"
"Almelo";"2010";"72602"
"Almere";"2010";"188160"
"Alphen aan den Rijn";"2010";"72534"
"Alphen-Chaam";"2010";"9436"
"Ameland";"2010";"3501"
"Amersfoort";"2010";"144862"
"Amstelveen";"2010";"80695"
"Amsterdam";"2010";"767457"
"Andijk";"2010";"6504"
"Anna Paulowna";"2010";"14234"
"Apeldoorn";"2010";"155726"
"Appingedam";"2010";"12032"
"Arnhem";"2010";"147018"
"Assen";"2010";"66857"
"Asten";"2010";"16335"
"Baarle-Nassau";"2010";"6703"
"Baarn";"2010";"24317"
"Barendrecht";"2010";"46449"
"Barneveld";"2010";"52490"
"Bedum";"2010";"10447"
"Beek (L.)";"2010";"16579"
"Beemster";"2010";"8584"
"Beesel";"2010";"13902"
"Bellingwedde";"2010";"9261"
"Bergambacht";"2010";"9729"
"Bergeijk";"2010";"18061"
"Bergen (L.)";"2010";"13391"
"Bergen (NH.)";"2010";"30985"
"Bergen op Zoom";"2010";"65845"
"Berkelland";"2010";"44978"
"Bernheze";"2010";"29655"
"Bernisse";"2010";"12455"
"Best";"2010";"28953"
"Beuningen";"2010";"25481"
"Beverwijk";"2010";"38883"
"het Bildt";"2010";"10908"
"De Bilt";"2010";"42017"
"Binnenmaas";"2010";"28926"
"Bladel";"2010";"19177"
"Blaricum";"2010";"8955"
"Bloemendaal";"2010";"22023"
"Boarnsterhim";"2010";"19357"
"Bodegraven";"2010";"19447"
"Boekel";"2010";"9772"
"Ten Boer";"2010";"7427"
"Bolsward";"2010";"9905"
"Borger-Odoorn";"2010";"26072"
"Borne";"2010";"21330"
"Borsele";"2010";"22618"
"Boskoop";"2010";"15090"
"Boxmeer";"2010";"28575"
"Boxtel";"2010";"30276"
"Breda";"2010";"173299"
"Breukelen";"2010";"14614"
"Brielle";"2010";"15759"
"Bronckhorst";"2010";"37751"
"Brummen";"2010";"21139"
"Brunssum";"2010";"29448"
"Bunnik";"2010";"14459"
"Bunschoten";"2010";"20000"
"Buren";"2010";"25887"
"Bussum";"2010";"32112"
"Capelle aan den IJssel";"2010";"65345"
"Castricum";"2010";"34652"
"Coevorden";"2010";"36121"
"Cranendonck";"2010";"20343"
"Cromstrijen";"2010";"12818"
"Cuijk";"2010";"24433"
"Culemborg";"2010";"27501"
"Dalfsen";"2010";"27259"
"Dantumadiel";"2010";"19283"
"Delft";"2010";"96760"
"Delfzijl";"2010";"26635"
"Deurne";"2010";"31526"
"Deventer";"2010";"98523"
"Diemen";"2010";"24685"
"Dinkelland";"2010";"26058"
"Dirksland";"2010";"8439"
"Doesburg";"2010";"11600"
"Doetinchem";"2010";"56108"
"Dongen";"2010";"25061"
"Dongeradeel";"2010";"24409"
"Dordrecht";"2010";"118480"
"Drechterland";"2010";"19291"
"Drimmelen";"2010";"26591"
"Dronten";"2010";"39787"
"Druten";"2010";"18084"
"Duiven";"2010";"25593"
"Echt-Susteren";"2010";"32282"
"Edam-Volendam";"2010";"28506"
"Ede";"2010";"107756"
"Eemnes";"2010";"8837"
"Eemsmond";"2010";"16426"
"Eersel";"2010";"18157"
"Eijsden";"2010";"11439"
"Eindhoven";"2010";"213809"
"Elburg";"2010";"22176"
"Emmen";"2010";"109491"
"Enkhuizen";"2010";"18153"
"Enschede";"2010";"157052"
"Epe";"2010";"32881"
"Ermelo";"2010";"26264"
"Etten-Leur";"2010";"41524"
"Ferwerderadiel";"2010";"8839"
"Franekeradeel";"2010";"20597"
"Gaasterlân-Sleat";"2010";"10303"
"Geertruidenberg";"2010";"21087"
"Geldermalsen";"2010";"26260"
"Geldrop-Mierlo";"2010";"38117"
"Gemert-Bakel";"2010";"28763"
"Gennep";"2010";"17153"
"Giessenlanden";"2010";"14451"
"Gilze en Rijen";"2010";"25975"
"Goedereede";"2010";"11420"
"Goes";"2010";"36605"
"Goirle";"2010";"22761"
"Gorinchem";"2010";"34663"
"Gouda";"2010";"71122"
"Graafstroom";"2010";"9804"
"Graft-De Rijp";"2010";"6489"
"Grave";"2010";"12917"
"'s-Gravenhage (gemeente)";"2010";"488553"
"Groesbeek";"2010";"18923"
"Groningen (gemeente)";"2010";"187298"
"Grootegast";"2010";"12141"
"Gulpen-Wittem";"2010";"14594"
"Haaksbergen";"2010";"24486"
"Haaren";"2010";"13625"
"Haarlem";"2010";"149579"
"Haarlemmerliede en Spaarnwoude";"2010";"5398"
"Haarlemmermeer";"2010";"142788"
"Halderberge";"2010";"29291"
"Hardenberg";"2010";"59014"
"Harderwijk";"2010";"44010"
"Hardinxveld-Giessendam";"2010";"17497"
"Haren";"2010";"18516"
"Harenkarspel";"2010";"16086"
"Harlingen";"2010";"15809"
"Hattem";"2010";"11792"
"Heemskerk";"2010";"38848"
"Heemstede";"2010";"26058"
"Heerde";"2010";"18313"
"Heerenveen";"2010";"43418"
"Heerhugowaard";"2010";"51178"
"Heerlen";"2010";"89236"
"Heeze-Leende";"2010";"15260"
"Heiloo";"2010";"22451"
"Den Helder";"2010";"57403"
"Hellendoorn";"2010";"35791"
"Hellevoetsluis";"2010";"39756"
"Helmond";"2010";"88291"
"Hendrik-Ido-Ambacht";"2010";"26897"
"Hengelo (O.)";"2010";"80772"
"'s-Hertogenbosch";"2010";"139607"
"Heumen";"2010";"16632"
"Heusden";"2010";"42995"
"Hillegom";"2010";"20484"
"Hilvarenbeek";"2010";"14978"
"Hilversum";"2010";"84573"
"Hof van Twente";"2010";"35468"
"Hoogeveen";"2010";"54805"
"Hoogezand-Sappemeer";"2010";"34754"
"Hoorn";"2010";"70252"
"Horst aan de Maas";"2010";"41465"
"Houten";"2010";"47622"
"Huizen";"2010";"41934"
"Hulst";"2010";"27860"
"IJsselstein";"2010";"34226"
"Kaag en Braassem";"2010";"25642"
"Kampen";"2010";"50051"
"Kapelle";"2010";"12402"
"Katwijk";"2010";"61828"
"Kerkrade";"2010";"47684"
"Koggenland";"2010";"21969"
"Kollumerland en Nieuwkruisland";"2010";"13005"
"Korendijk";"2010";"10891"
"Krimpen aan den IJssel";"2010";"28812"
"Laarbeek";"2010";"21581"
"Landerd";"2010";"14888"
"Landgraaf";"2010";"38457"
"Landsmeer";"2010";"10233"
"Langedijk";"2010";"26955"
"Lansingerland";"2010";"52565"
"Laren (NH.)";"2010";"11323"
"Leek";"2010";"19364"
"Leerdam";"2010";"20745"
"Leeuwarden";"2010";"94073"
"Leeuwarderadeel";"2010";"10435"
"Leiden";"2010";"117123"
"Leiderdorp";"2010";"26426"
"Leidschendam-Voorburg";"2010";"72160"
"Lelystad";"2010";"74628"
"Lemsterland";"2010";"13623"
"Leudal";"2010";"36741"
"Leusden";"2010";"28812"
"Liesveld";"2010";"9740"
"Lingewaal";"2010";"10899"
"Lingewaard";"2010";"45445"
"Lisse";"2010";"22335"
"Lith";"2010";"6651"
"Littenseradiel";"2010";"10924"
"Lochem";"2010";"33395"
"Loenen";"2010";"8504"
"Loon op Zand";"2010";"23016"
"Lopik";"2010";"14174"
"Loppersum";"2010";"10452"
"Losser";"2010";"22647"
"Maarssen";"2010";"39663"
"Maasdonk";"2010";"11268"
"Maasdriel";"2010";"23756"
"Maasgouw";"2010";"24275"
"Maassluis";"2010";"31591"
"Maastricht";"2010";"118533"
"Margraten";"2010";"13404"
"De Marne";"2010";"10527"
"Marum";"2010";"10449"
"Medemblik";"2010";"27384"
"Meerssen";"2010";"19565"
"Menaldumadeel";"2010";"13748"
"Menterwolde";"2010";"12503"
"Meppel";"2010";"32378"
"Middelburg (Z.)";"2010";"47997"
"Middelharnis";"2010";"17950"
"Midden-Delfland";"2010";"17890"
"Midden-Drenthe";"2010";"33560"
"Mill en Sint Hubert";"2010";"11031"
"Millingen aan de Rijn";"2010";"5914"
"Moerdijk";"2010";"36536"
"Montferland";"2010";"35179"
"Montfoort";"2010";"13494"
"Mook en Middelaar";"2010";"8049"
"Muiden";"2010";"6500"
"Naarden";"2010";"17152"
"Neder-Betuwe";"2010";"22553"
"Nederlek";"2010";"14087"
"Nederweert";"2010";"16607"
"Neerijnen";"2010";"11880"
"Niedorp";"2010";"12137"
"Nieuwegein";"2010";"60896"
"Nieuwkoop";"2010";"26929"
"Nieuw-Lekkerland";"2010";"9530"
"Nijefurd";"2010";"10947"
"Nijkerk";"2010";"39538"
"Nijmegen";"2010";"162963"
"Noord-Beveland";"2010";"7397"
"Noordenveld";"2010";"30808"
"Noordoostpolder";"2010";"46090"
"Noordwijk";"2010";"25407"
"Noordwijkerhout";"2010";"15555"
"Nuenen, Gerwen en Nederwetten";"2010";"22213"
"Nunspeet";"2010";"26728"
"Nuth";"2010";"15667"
"Oegstgeest";"2010";"22597"
"Oirschot";"2010";"17750"
"Oisterwijk";"2010";"25827"
"Oldambt";"2010";"39486"
"Oldebroek";"2010";"22750"
"Oldenzaal";"2010";"31974"
"Olst-Wijhe";"2010";"17540"
"Ommen";"2010";"17404"
"Onderbanken";"2010";"8109"
"Oost Gelre";"2010";"30026"
"Oosterhout";"2010";"54136"
"Oostflakkee";"2010";"10365"
"Ooststellingwerf";"2010";"26235"
"Oostzaan";"2010";"9149"
"Opmeer";"2010";"11386"
"Opsterland";"2010";"30039"
"Oss";"2010";"77392"
"Oud-Beijerland";"2010";"23555"
"Oude IJsselstreek";"2010";"39897"
"Ouder-Amstel";"2010";"13099"
"Ouderkerk";"2010";"8151"
"Oudewater";"2010";"9843"
"Overbetuwe";"2010";"45577"
"Papendrecht";"2010";"31853"
"Peel en Maas";"2010";"43058"
"Pekela";"2010";"13054"
"Pijnacker-Nootdorp";"2010";"48013"
"Purmerend";"2010";"79038"
"Putten";"2010";"23592"
"Raalte";"2010";"36796"
"Reeuwijk";"2010";"13060"
"Reimerswaal";"2010";"21476"
"Renkum";"2010";"31656"
"Renswoude";"2010";"4602"
"Reusel-De Mierden";"2010";"12555"
"Rheden";"2010";"43724"
"Rhenen";"2010";"18860"
"Ridderkerk";"2010";"44746"
"Rijnwaarden";"2010";"11080"
"Rijnwoude";"2010";"18547"
"Rijssen-Holten";"2010";"37080"
"Rijswijk (ZH.)";"2010";"46672"
"Roerdalen";"2010";"21307"
"Roermond";"2010";"55212"
"De Ronde Venen";"2010";"34400"
"Roosendaal";"2010";"77566"
"Rotterdam";"2010";"593049"
"Rozenburg";"2010";"12494"
"Rozendaal";"2010";"1495"
"Rucphen";"2010";"22484"
"Schagen";"2010";"18736"
"Schermer";"2010";"5360"
"Scherpenzeel";"2010";"9316"
"Schiedam";"2010";"75565"
"Schiermonnikoog";"2010";"942"
"Schijndel";"2010";"22991"
"Schinnen";"2010";"13494"
"Schoonhoven";"2010";"11985"
"Schouwen-Duiveland";"2010";"34118"
"Simpelveld";"2010";"10996"
"Sint Anthonis";"2010";"11842"
"Sint-Michielsgestel";"2010";"28138"
"Sint-Oedenrode";"2010";"17680"
"Sittard-Geleen";"2010";"95243"
"Skarsterlân";"2010";"27289"
"Sliedrecht";"2010";"24051"
"Slochteren";"2010";"15555"
"Sluis";"2010";"24089"
"Smallingerland";"2010";"55271"
"Sneek";"2010";"33431"
"Soest";"2010";"45680"
