"Perioden";"aantal"
"Someren";"2010";"18229"
"Son en Breugel";"2010";"15543"
"Spijkenisse";"2010";"72345"
"Stadskanaal";"2010";"33416"
"Staphorst";"2010";"16153"
"Stede Broec";"2010";"21274"
"Steenbergen";"2010";"23224"
"Steenwijkerland";"2010";"43208"
"Stein (L.)";"2010";"25673"
"Strijen";"2010";"8916"
"Terneuzen";"2010";"54878"
"Terschelling";"2010";"4733"
"Texel";"2010";"13779"
"Teylingen";"2010";"35759"
"Tholen";"2010";"25410"
"Tiel";"2010";"41192"
"Tilburg";"2010";"204853"
"Tubbergen";"2010";"21145"
"Twenterand";"2010";"33580"
"Tynaarlo";"2010";"32408"
"Tytsjerksteradiel";"2010";"32237"
"Ubbergen";"2010";"9333"
"Uden";"2010";"40536"
"Uitgeest";"2010";"12664"
"Uithoorn";"2010";"28053"
"Urk";"2010";"18310"
"Utrecht (gemeente)";"2010";"307081"
"Utrechtse Heuvelrug";"2010";"48801"
"Vaals";"2010";"9870"
"Valkenburg aan de Geul";"2010";"17090"
"Valkenswaard";"2010";"30725"
"Veendam";"2010";"28024"
"Veenendaal";"2010";"62053"
"Veere";"2010";"21914"
"Veghel";"2010";"37303"
"Veldhoven";"2010";"43243"
"Velsen";"2010";"67281"
"Venlo";"2010";"100301"
"Venray";"2010";"42718"
"Vianen";"2010";"19647"
"Vlaardingen";"2010";"70533"
"Vlagtwedde";"2010";"16260"
"Vlieland";"2010";"1160"
"Vlissingen";"2010";"44645"
"Vlist";"2010";"9753"
"Voerendaal";"2010";"12703"
"Voorschoten";"2010";"23462"
"Voorst";"2010";"23772"
"Vught";"2010";"25400"
"Waalre";"2010";"16533"
"Waalwijk";"2010";"45751"
"Waddinxveen";"2010";"25400"
"Wageningen";"2010";"37359"
"Wassenaar";"2010";"25816"
"Waterland";"2010";"17057"
"Weert";"2010";"48456"
"Weesp";"2010";"17636"
"Werkendam";"2010";"26371"
"Wervershoof";"2010";"8780"
"West Maas en Waal";"2010";"18413"
"Westerveld";"2010";"19342"
"Westervoort";"2010";"15237"
"Westland";"2010";"99717"
"Weststellingwerf";"2010";"25829"
"Westvoorne";"2010";"14057"
"Wierden";"2010";"23447"
"Wieringen";"2010";"8644"
"Wieringermeer";"2010";"12580"
"Wijchen";"2010";"40148"
"Wijdemeren";"2010";"23391"
"Wijk bij Duurstede";"2010";"23157"
"Winsum";"2010";"14073"
"Winterswijk";"2010";"29051"
"Woensdrecht";"2010";"21635"
"Woerden";"2010";"49334"
"De Wolden";"2010";"23576"
"Wormerland";"2010";"15862"
"Woudenberg";"2010";"11905"
"Woudrichem";"2010";"14430"
"Wûnseradiel";"2010";"11829"
"Wymbritseradiel";"2010";"16138"
"Zaanstad";"2010";"145332"
"Zaltbommel";"2010";"26428"
"Zandvoort";"2010";"16632"
"Zederik";"2010";"13397"
"Zeevang";"2010";"6307"
"Zeewolde";"2010";"20906"
"Zeist";"2010";"60286"
"Zevenaar";"2010";"31907"
"Zijpe";"2010";"11587"
"Zoetermeer";"2010";"121532"
"Zoeterwoude";"2010";"8118"
"Zuidhorn";"2010";"18568"
"Zuidplas";"2010";"40410"
"Zundert";"2010";"21025"
"Zutphen";"2010";"46870"
"Zwartewaterland";"2010";"21935"
"Zwijndrecht";"2010";"44404"
"Zwolle";"2010";"119030"
