"Perioden";"aantal"
"Aa en Hunze";"2006";"25507"
"Aalburg";"2006";"12222"
"Aalsmeer";"2006";"24145"
"Aalten";"2006";"27476"
"Ter Aar";"2006";"8988"
"Abcoude";"2006";"8670"
"Achtkarspelen";"2006";"28223"
"Alblasserdam";"2006";"18426"
"Albrandswaard";"2006";"21059"
"Alkemade";"2006";"14512"
"Alkmaar";"2006";"94455"
"Almelo";"2006";"72048"
"Almere";"2006";"178466"
"Alphen aan den Rijn";"2006";"70955"
"Alphen-Chaam";"2006";"9491"
"Ambt Montfort";"2006";"10998"
"Ameland";"2006";"3475"
"Amersfoort";"2006";"136999"
"Amstelveen";"2006";"78774"
"Amsterdam";"2006";"743079"
"Andijk";"2006";"6470"
"Anna Paulowna";"2006";"14022"
"Apeldoorn";"2006";"156051"
"Appingedam";"2006";"12291"
"Arcen en Velden";"2006";"8864"
"Arnhem";"2006";"142195"
"Assen";"2006";"63383"
"Asten";"2006";"16299"
"Baarle-Nassau";"2006";"6648"
"Baarn";"2006";"24513"
"Barendrecht";"2006";"41249"
"Barneveld";"2006";"50448"
"Bedum";"2006";"10675"
"Beek (L.)";"2006";"16926"
"Beemster";"2006";"8515"
"Beesel";"2006";"13521"
"Bellingwedde";"2006";"9740"
"Bennebroek";"2006";"5131"
"Bergambacht";"2006";"9398"
"Bergeijk";"2006";"18060"
"Bergen (L.)";"2006";"13612"
"Bergen (NH.)";"2006";"31505"
"Bergen op Zoom";"2006";"65767"
"Bergschenhoek";"2006";"16606"
"Berkel en Rodenrijs";"2006";"19184"
"Berkelland";"2006";"45294"
"Bernheze";"2006";"29544"
"Bernisse";"2006";"12673"
"Best";"2006";"29026"
"Beuningen";"2006";"25078"
"Beverwijk";"2006";"36546"
"het Bildt";"2006";"11013"
"De Bilt";"2006";"42037"
"Binnenmaas";"2006";"19636"
"Bladel";"2006";"19130"
"Blaricum";"2006";"9114"
"Bleiswijk";"2006";"10231"
"Bloemendaal";"2006";"16974"
"Boarnsterhim";"2006";"19212"
"Bodegraven";"2006";"19361"
"Boekel";"2006";"9407"
"Ten Boer";"2006";"7164"
"Bolsward";"2006";"9503"
"Borger-Odoorn";"2006";"26303"
"Borne";"2006";"20547"
"Borsele";"2006";"22415"
"Boskoop";"2006";"15311"
"Boxmeer";"2006";"28950"
"Boxtel";"2006";"29676"
"Breda";"2006";"169709"
"Breukelen";"2006";"14571"
"Brielle";"2006";"15990"
"Bronckhorst";"2006";"37700"
"Brummen";"2006";"21385"
"Brunssum";"2006";"29623"
"Bunnik";"2006";"14234"
"Bunschoten";"2006";"19468"
"Buren";"2006";"25584"
"Bussum";"2006";"31237"
"Capelle aan den IJssel";"2006";"65602"
"Castricum";"2006";"35020"
"Coevorden";"2006";"36135"
"Cranendonck";"2006";"20133"
"Cromstrijen";"2006";"13049"
"Cuijk";"2006";"24221"
"Culemborg";"2006";"27157"
"Dalfsen";"2006";"26439"
"Dantumadeel";"2006";"19555"
"Delft";"2006";"95090"
"Delfzijl";"2006";"27989"
"Deurne";"2006";"31853"
"Deventer";"2006";"96540"
"Diemen";"2006";"23834"
"Dinkelland";"2006";"26092"
"Dirksland";"2006";"8316"
"Doesburg";"2006";"11539"
"Doetinchem";"2006";"56755"
"Dongen";"2006";"25558"
"Dongeradeel";"2006";"25034"
"Dordrecht";"2006";"118821"
"Drechterland";"2006";"18539"
"Drimmelen";"2006";"26649"
"Dronten";"2006";"38125"
"Druten";"2006";"18022"
"Duiven";"2006";"25577"
"Echt-Susteren";"2006";"32295"
"Edam-Volendam";"2006";"28459"
"Ede";"2006";"107048"
"Eemnes";"2006";"8859"
"Eemsmond";"2006";"16695"
"Eersel";"2006";"18183"
"Eijsden";"2006";"11723"
"Eindhoven";"2006";"209172"
"Elburg";"2006";"22086"
"Emmen";"2006";"108589"
"Enkhuizen";"2006";"17715"
"Enschede";"2006";"154377"
"Epe";"2006";"32978"
"Ermelo";"2006";"26251"
"Etten-Leur";"2006";"40322"
"Ferwerderadiel";"2006";"8976"
"Franekeradeel";"2006";"20887"
"Gaasterlân-Sleat";"2006";"10305"
"Geertruidenberg";"2006";"20855"
"Geldermalsen";"2006";"26258"
"Geldrop-Mierlo";"2006";"37738"
"Gemert-Bakel";"2006";"27913"
"Gennep";"2006";"16742"
"Giessenlanden";"2006";"14497"
"Gilze en Rijen";"2006";"25266"
"Goedereede";"2006";"11631"
"Goes";"2006";"36690"
"Goirle";"2006";"22146"
"Gorinchem";"2006";"34250"
"Gouda";"2006";"71386"
"Graafstroom";"2006";"9730"
"Graft-De Rijp";"2006";"6579"
"Grave";"2006";"12868"
"'s-Gravendeel";"2006";"8944"
"'s-Gravenhage (gemeente)";"2006";"475627"
"Groenlo";"2006";"30021"
"Groesbeek";"2006";"18826"
"Groningen (gemeente)";"2006";"180729"
"Grootegast";"2006";"12102"
"Gulpen-Wittem";"2006";"14954"
"Haaksbergen";"2006";"24344"
"Haaren";"2006";"13833"
"Haarlem";"2006";"147015"
"Haarlemmerliede en Spaarnwoude";"2006";"5489"
"Haarlemmermeer";"2006";"135136"
"Haelen";"2006";"9980"
"Halderberge";"2006";"29482"
"Hardenberg";"2006";"57909"
"Harderwijk";"2006";"41388"
"Hardinxveld-Giessendam";"2006";"17775"
"Haren";"2006";"19107"
"Harenkarspel";"2006";"15754"
"Harlingen";"2006";"15642"
"Hattem";"2006";"11702"
"Heel";"2006";"8277"
"Heemskerk";"2006";"37423"
"Heemstede";"2006";"25650"
"Heerde";"2006";"18330"
"Heerenveen";"2006";"42757"
"Heerhugowaard";"2006";"49444"
"Heerlen";"2006";"91499"
"Heeze-Leende";"2006";"15150"
"Heiloo";"2006";"22123"
"Helden";"2006";"19589"
"Den Helder";"2006";"58957"
"Hellendoorn";"2006";"36152"
"Hellevoetsluis";"2006";"40004"
"Helmond";"2006";"85682"
"Hendrik-Ido-Ambacht";"2006";"24458"
"Hengelo (O.)";"2006";"81299"
"'s-Hertogenbosch";"2006";"134717"
"Heumen";"2006";"16827"
"Heusden";"2006";"43103"
"Heythuysen";"2006";"12220"
"Hillegom";"2006";"20317"
"Hilvarenbeek";"2006";"15069"
"Hilversum";"2006";"83652"
"Hof van Twente";"2006";"35041"
"Hoogeveen";"2006";"54150"
"Hoogezand-Sappemeer";"2006";"34513"
"Hoorn";"2006";"67846"
"Horst aan de Maas";"2006";"28750"
"Houten";"2006";"44499"
"Huizen";"2006";"42091"
"Hulst";"2006";"27893"
"Hunsel";"2006";"6203"
"IJsselstein";"2006";"33976"
"Jacobswoude";"2006";"10797"
"Kampen";"2006";"49295"
"Kapelle";"2006";"11755"
"Katwijk";"2006";"60932"
"Kerkrade";"2006";"49323"
"Kessel";"2006";"4255"
"Kollumerland en Nieuwkruisland";"2006";"13116"
"Korendijk";"2006";"10886"
"Krimpen aan den IJssel";"2006";"28783"
"Laarbeek";"2006";"21771"
"Landerd";"2006";"14744"
"Landgraaf";"2006";"39189"
"Landsmeer";"2006";"10301"
"Langedijk";"2006";"25931"
"Laren (NH.)";"2006";"11005"
"Leek";"2006";"18936"
"Leerdam";"2006";"20809"
"Leeuwarden";"2006";"91817"
"Leeuwarderadeel";"2006";"10493"
"Leiden";"2006";"118069"
"Leiderdorp";"2006";"25990"
"Leidschendam-Voorburg";"2006";"73111"
"Lelystad";"2006";"71447"
"Lemsterland";"2006";"13405"
"Leusden";"2006";"28889"
"Liemeer";"2006";"6772"
"Liesveld";"2006";"9738"
"Lingewaal";"2006";"10826"
"Lingewaard";"2006";"43719"
"Lisse";"2006";"21877"
"Lith";"2006";"6702"
"Littenseradiel";"2006";"10825"
"Lochem";"2006";"32861"
"Loenen";"2006";"8296"
"Loon op Zand";"2006";"22807"
"Lopik";"2006";"13908"
"Loppersum";"2006";"10926"
"Losser";"2006";"22489"
"Maarssen";"2006";"39563"
"Maasbracht";"2006";"13624"
"Maasbree";"2006";"12849"
"Maasdonk";"2006";"11283"
"Maasdriel";"2006";"23565"
"Maassluis";"2006";"31956"
"Maastricht";"2006";"120175"
"Margraten";"2006";"13524"
"De Marne";"2006";"11114"
"Marum";"2006";"10081"
"Medemblik";"2006";"8096"
"Meerlo-Wanssum";"2006";"7692"
"Meerssen";"2006";"19762"
"Meijel";"2006";"5857"
"Menaldumadeel";"2006";"13884"
"Menterwolde";"2006";"12618"
"Meppel";"2006";"30539"
"Middelburg (Z.)";"2006";"46974"
"Middelharnis";"2006";"17681"
"Midden-Delfland";"2006";"17435"
"Midden-Drenthe";"2006";"33282"
"Mill en Sint Hubert";"2006";"11057"
"Millingen aan de Rijn";"2006";"5848"
"Moerdijk";"2006";"36676"
"Montferland";"2006";"35190"
"Montfoort";"2006";"13506"
"Mook en Middelaar";"2006";"8016"
"Moordrecht";"2006";"8095"
"Muiden";"2006";"6645"
"Naarden";"2006";"17104"
"Neder-Betuwe";"2006";"22378"
"Nederlek";"2006";"14690"
"Nederweert";"2006";"16446"
"Neerijnen";"2006";"11775"
"Niedorp";"2006";"11793"
"Nieuwegein";"2006";"61605"
"Nieuwerkerk aan den IJssel";"2006";"22140"
"Nieuwkoop";"2006";"11122"
"Nieuw-Lekkerland";"2006";"9457"
"Nijefurd";"2006";"10868"
"Nijkerk";"2006";"38695"
"Nijmegen";"2006";"159522"
"Noord-Beveland";"2006";"7200"
"Noordenveld";"2006";"31573"
"Noorder-Koggenland";"2006";"10553"
"Noordoostpolder";"2006";"45739"
"Noordwijk";"2006";"24673"
"Noordwijkerhout";"2006";"15166"
"Nuenen, Gerwen en Nederwetten";"2006";"22873"
"Nunspeet";"2006";"26583"
"Nuth";"2006";"15920"
"Obdam";"2006";"6770"
"Oegstgeest";"2006";"21891"
"Oirschot";"2006";"17812"
"Oisterwijk";"2006";"25908"
"Oldebroek";"2006";"22880"
"Oldenzaal";"2006";"31297"
"Olst-Wijhe";"2006";"17247"
"Ommen";"2006";"17303"
"Onderbanken";"2006";"8366"
"Oosterhout";"2006";"52853"
"Oostflakkee";"2006";"10233"
"Ooststellingwerf";"2006";"26125"
"Oostzaan";"2006";"9200"
