"Perioden";"aantal"
"Lith";"2003";"6750"
"Littenseradiel";"2003";"10840"
"Lochem";"2003";"19370"
"Loenen";"2003";"8324"
"Loon op Zand";"2003";"22952"
"Lopik";"2003";"13728"
"Loppersum";"2003";"11152"
"Losser";"2003";"22587"
"Maarn";"2003";"5822"
"Maarssen";"2003";"40015"
"Maasbracht";"2003";"13727"
"Maasbree";"2003";"12875"
"Maasdonk";"2003";"11406"
"Maasdriel";"2003";"23519"
"Maasland";"2003";"6832"
"Maassluis";"2003";"32915"
"Maastricht";"2003";"121982"
"Margraten";"2003";"13592"
"De Marne";"2003";"11180"
"Marum";"2003";"10310"
"Medemblik";"2003";"7902"
"Meerlo-Wanssum";"2003";"7732"
"Meerssen";"2003";"20039"
"Meijel";"2003";"5828"
"Menaldumadeel";"2003";"14089"
"Menterwolde";"2003";"12694"
"Meppel";"2003";"30588"
"Middelburg (Z.)";"2003";"46214"
"Middelharnis";"2003";"17346"
"Midden-Drenthe";"2003";"32826"
"Mierlo";"2003";"10168"
"Mill en Sint Hubert";"2003";"11108"
"Millingen aan de Rijn";"2003";"5911"
"Moerdijk";"2003";"36553"
"Monster";"2003";"20446"
"Montfoort";"2003";"13339"
"Mook en Middelaar";"2003";"8011"
"Moordrecht";"2003";"8079"
"Muiden";"2003";"6647"
"Naaldwijk";"2003";"28774"
"Naarden";"2003";"16947"
"Nederlek";"2003";"14860"
"Nederweert";"2003";"16104"
"Neede";"2003";"11057"
"Neerijnen";"2003";"11388"
"Niedorp";"2003";"11554"
"Nieuwegein";"2003";"62124"
"Nieuwerkerk aan den IJssel";"2003";"22380"
"Nieuwkoop";"2003";"11056"
"Nieuw-Lekkerland";"2003";"9425"
"Nijefurd";"2003";"10903"
"Nijkerk";"2003";"37631"
"Nijmegen";"2003";"156198"
"Noord-Beveland";"2003";"7127"
"Noordenveld";"2003";"31936"
"Noorder-Koggenland";"2003";"10456"
"Noordoostpolder";"2003";"44741"
"Noordwijk";"2003";"24542"
"Noordwijkerhout";"2003";"15113"
"Nuenen, Gerwen en Nederwetten";"2003";"23514"
"Nunspeet";"2003";"26456"
"Nuth";"2003";"16371"
"Obdam";"2003";"6629"
"Oegstgeest";"2003";"21228"
"Oirschot";"2003";"17838"
"Oisterwijk";"2003";"25588"
"Oldebroek";"2003";"22892"
"Oldenzaal";"2003";"31374"
"Olst-Wijhe";"2003";"17002"
"Ommen";"2003";"16966"
"Onderbanken";"2003";"8420"
"Oosterhout";"2003";"53136"
"Oostflakkee";"2003";"10163"
"Ooststellingwerf";"2003";"26761"
"Oostzaan";"2003";"9118"
"Opmeer";"2003";"11220"
"Opsterland";"2003";"29000"
"Oss";"2003";"76184"
"Oud-Beijerland";"2003";"23163"
"Ouder-Amstel";"2003";"13054"
"Ouderkerk";"2003";"8119"
"Oudewater";"2003";"9754"
"Overbetuwe";"2003";"40604"
"Papendrecht";"2003";"30510"
"Pekela";"2003";"13580"
"Pijnacker-Nootdorp";"2003";"35855"
"Purmerend";"2003";"74921"
"Putten";"2003";"23192"
"Raalte";"2003";"36956"
"Reeuwijk";"2003";"12904"
"Reiderland";"2003";"7070"
"Reimerswaal";"2003";"20839"
"Renkum";"2003";"32098"
"Renswoude";"2003";"4205"
"Reusel-De Mierden";"2003";"12353"
"Rheden";"2003";"45012"
"Rhenen";"2003";"17690"
"Ridderkerk";"2003";"45873"
"Rijnsburg";"2003";"14957"
"Rijnwaarden";"2003";"11226"
"Rijnwoude";"2003";"19013"
"Rijssen";"2003";"35885"
"Rijswijk (ZH.)";"2003";"48094"
"Roerdalen";"2003";"10557"
"Roermond";"2003";"45344"
"Roggel en Neer";"2003";"8415"
"De Ronde Venen";"2003";"34499"
"Roosendaal";"2003";"78110"
"Rotterdam";"2003";"599651"
"Rozenburg";"2003";"13241"
"Rozendaal";"2003";"1527"
"Rucphen";"2003";"22607"
"Ruurlo";"2003";"8584"
"Sassenheim";"2003";"14841"
"Schagen";"2003";"17488"
"Scheemda";"2003";"14370"
"Schermer";"2003";"4849"
"Scherpenzeel";"2003";"9039"
"Schiedam";"2003";"75802"
"Schiermonnikoog";"2003";"1000"
"Schijndel";"2003";"23400"
"Schinnen";"2003";"13598"
"Schipluiden";"2003";"11175"
"Schoonhoven";"2003";"12254"
"Schouwen-Duiveland";"2003";"34484"
"Sevenum";"2003";"7312"
"Simpelveld";"2003";"11448"
"Sint Anthonis";"2003";"11799"
"Sint-Michielsgestel";"2003";"27961"
"Sint-Oedenrode";"2003";"17034"
"Sittard-Geleen";"2003";"97806"
"Skarsterlân";"2003";"27258"
"Sliedrecht";"2003";"23820"
"Slochteren";"2003";"15121"
"Sluis";"2003";"24828"
"Smallingerland";"2003";"53740"
"Sneek";"2003";"32862"
"Soest";"2003";"44792"
"Someren";"2003";"18413"
"Son en Breugel";"2003";"15017"
"Spijkenisse";"2003";"75354"
"Stadskanaal";"2003";"33695"
"Staphorst";"2003";"15565"
"Stede Broec";"2003";"21171"
"Steenbergen";"2003";"23386"
"Steenderen";"2003";"5086"
"Steenwijkerland";"2003";"42358"
"Stein (L.)";"2003";"26596"
"Strijen";"2003";"9253"
"Swalmen";"2003";"8687"
"Terneuzen";"2003";"55520"
"Terschelling";"2003";"4723"
"Texel";"2003";"13825"
"Tholen";"2003";"23990"
"Thorn";"2003";"2543"
"Tiel";"2003";"40515"
"Tilburg";"2003";"197917"
"Tubbergen";"2003";"20262"
"Twenterand";"2003";"33427"
"Tynaarlo";"2003";"31998"
"Tytsjerksteradiel";"2003";"31696"
"Ubbergen";"2003";"9250"
"Uden";"2003";"40113"
"Uitgeest";"2003";"11772"
"Uithoorn";"2003";"26680"
"Urk";"2003";"16748"
"Utrecht (gemeente)";"2003";"265151"
"Vaals";"2003";"10628"
"Valkenburg (ZH.)";"2003";"3768"
"Valkenburg aan de Geul";"2003";"17896"
"Valkenswaard";"2003";"31111"
"Veendam";"2003";"28397"
"Veenendaal";"2003";"60953"
"Veere";"2003";"22087"
"Veghel";"2003";"36467"
"Veldhoven";"2003";"42795"
"Velsen";"2003";"67527"
"Venhuizen";"2003";"7879"
"Venlo";"2003";"91780"
"Venray";"2003";"39122"
"Vianen";"2003";"19743"
"Vlaardingen";"2003";"74322"
"Vlagtwedde";"2003";"16663"
"Vlieland";"2003";"1240"
"Vlissingen";"2003";"45199"
"Vlist";"2003";"9800"
"Voerendaal";"2003";"13087"
"Voorhout";"2003";"14444"
"Voorschoten";"2003";"22542"
"Voorst";"2003";"23602"
"Vorden";"2003";"8478"
"Vught";"2003";"25273"
"Waalre";"2003";"16339"
"Waalwijk";"2003";"45584"
"Waddinxveen";"2003";"26797"
"Wageningen";"2003";"34841"
"Warmond";"2003";"4985"
"Warnsveld";"2003";"9037"
"Wassenaar";"2003";"25662"
"Wateringen";"2003";"16316"
"Waterland";"2003";"17150"
"Weert";"2003";"48785"
"Weesp";"2003";"17885"
"Wehl";"2003";"6771"
"Werkendam";"2003";"26384"
"Wervershoof";"2003";"8470"
"West Maas en Waal";"2003";"18202"
"Wester-Koggenland";"2003";"13765"
"Westerveld";"2003";"19097"
"Westervoort";"2003";"16162"
"Weststellingwerf";"2003";"25802"
"Westvoorne";"2003";"14243"
"Wierden";"2003";"23444"
"Wieringen";"2003";"8358"
"Wieringermeer";"2003";"12626"
"Wijchen";"2003";"39564"
"Wijdemeren";"2003";"23237"
"Wijk bij Duurstede";"2003";"23330"
"Winschoten";"2003";"18494"
"Winsum";"2003";"14204"
"Winterswijk";"2003";"28975"
"Wisch";"2003";"19573"
"Woensdrecht";"2003";"21557"
"Woerden";"2003";"47762"
"Wognum";"2003";"8132"
"De Wolden";"2003";"23969"
"Wormerland";"2003";"15510"
"Woudenberg";"2003";"11151"
"Woudrichem";"2003";"14408"
"Wûnseradiel";"2003";"11935"
"Wymbritseradiel";"2003";"16204"
"Zaanstad";"2003";"139464"
"Zaltbommel";"2003";"25999"
"Zandvoort";"2003";"16864"
"Zederik";"2003";"13556"
"Zeevang";"2003";"6324"
"Zeewolde";"2003";"19398"
"Zeist";"2003";"59799"
"Zelhem";"2003";"11214"
"Zevenaar";"2003";"25965"
"Zevenhuizen-Moerkapelle";"2003";"10150"
"Zijpe";"2003";"11314"
"Zoetermeer";"2003";"112594"
"Zoeterwoude";"2003";"8593"
"Zuidhorn";"2003";"18109"
"Zundert";"2003";"20386"
"Zutphen";"2003";"36924"
"Zwartewaterland";"2003";"22206"
"Zwijndrecht";"2003";"45071"
"Zwolle";"2003";"109955"
