"Perioden";"aantal"
"Aa en Hunze";"2003";"25305"
"Aalburg";"2003";"12087"
"Aalsmeer";"2003";"22839"
"Aalten";"2003";"18855"
"Ter Aar";"2003";"9080"
"Abcoude";"2003";"8595"
"Achtkarspelen";"2003";"28102"
"Alblasserdam";"2003";"18425"
"Albrandswaard";"2003";"18737"
"Alkemade";"2003";"14428"
"Alkmaar";"2003";"93390"
"Almelo";"2003";"71729"
"Almere";"2003";"165106"
"Alphen aan den Rijn";"2003";"70706"
"Alphen-Chaam";"2003";"9413"
"Ambt Montfort";"2003";"10994"
"Ameland";"2003";"3576"
"Amerongen";"2003";"7194"
"Amersfoort";"2003";"131221"
"Amstelveen";"2003";"78095"
"Amsterdam";"2003";"736562"
"Andijk";"2003";"6390"
"Angerlo";"2003";"4994"
"Anna Paulowna";"2003";"13940"
"Apeldoorn";"2003";"155741"
"Appingedam";"2003";"12467"
"Arcen en Velden";"2003";"8948"
"Arnhem";"2003";"141528"
"Assen";"2003";"61577"
"Asten";"2003";"16091"
"Baarle-Nassau";"2003";"6507"
"Baarn";"2003";"24423"
"Barendrecht";"2003";"35880"
"Barneveld";"2003";"49423"
"Bathmen";"2003";"5280"
"Bedum";"2003";"10883"
"Beek (L.)";"2003";"17065"
"Beemster";"2003";"8536"
"Beesel";"2003";"13466"
"Bellingwedde";"2003";"9671"
"Bennebroek";"2003";"5307"
"Bergambacht";"2003";"9227"
"Bergeijk";"2003";"18093"
"Bergen (L.)";"2003";"13463"
"Bergen (NH.)";"2003";"31742"
"Bergen op Zoom";"2003";"66024"
"Bergh";"2003";"18416"
"Bergschenhoek";"2003";"15185"
"Berkel en Rodenrijs";"2003";"17212"
"Bernheze";"2003";"28848"
"Bernisse";"2003";"12712"
"Best";"2003";"28244"
"Beuningen";"2003";"25361"
"Beverwijk";"2003";"36409"
"het Bildt";"2003";"10545"
"De Bilt";"2003";"42308"
"Binnenmaas";"2003";"19211"
"Bladel";"2003";"19092"
"Blaricum";"2003";"9309"
"Bleiswijk";"2003";"10349"
"Bloemendaal";"2003";"17045"
"Boarnsterhim";"2003";"18980"
"Bodegraven";"2003";"19562"
"Boekel";"2003";"9372"
"Ten Boer";"2003";"7354"
"Bolsward";"2003";"9446"
"Borculo";"2003";"10417"
"Borger-Odoorn";"2003";"26440"
"Borne";"2003";"20651"
"Borsele";"2003";"22351"
"Boskoop";"2003";"15228"
"Boxmeer";"2003";"29352"
"Boxtel";"2003";"29513"
"Breda";"2003";"164397"
"Breukelen";"2003";"14416"
"Brielle";"2003";"15999"
"Brummen";"2003";"21604"
"Brunssum";"2003";"29942"
"Bunnik";"2003";"14111"
"Bunschoten";"2003";"19396"
"Buren";"2003";"25689"
"Bussum";"2003";"31267"
"Capelle aan den IJssel";"2003";"65318"
"Castricum";"2003";"35327"
"Coevorden";"2003";"36008"
"Cranendonck";"2003";"20336"
"Cromstrijen";"2003";"12980"
"Cuijk";"2003";"24325"
"Culemborg";"2003";"26362"
"Dalfsen";"2003";"26281"
"Dantumadeel";"2003";"19685"
"Delft";"2003";"96588"
"Delfzijl";"2003";"28972"
"Deurne";"2003";"32130"
"Deventer";"2003";"87526"
"Didam";"2003";"16784"
"Diemen";"2003";"24046"
"Dinkelland";"2003";"25997"
"Dinxperlo";"2003";"8582"
"Dirksland";"2003";"8256"
"Doesburg";"2003";"11412"
"Doetinchem";"2003";"49099"
"Dongen";"2003";"25148"
"Dongeradeel";"2003";"24961"
"Doorn";"2003";"10194"
"Dordrecht";"2003";"120043"
"Drechterland";"2003";"10194"
"Driebergen-Rijsenburg";"2003";"18575"
"Drimmelen";"2003";"26747"
"Dronten";"2003";"37132"
"Druten";"2003";"17570"
"Duiven";"2003";"26163"
"Echt-Susteren";"2003";"32107"
"Edam-Volendam";"2003";"28063"
"Ede";"2003";"104771"
"Eemnes";"2003";"8630"
"Eemsmond";"2003";"17196"
"Eersel";"2003";"18389"
"Eibergen";"2003";"16762"
"Eijsden";"2003";"11938"
"Eindhoven";"2003";"206118"
"Elburg";"2003";"21662"
"Emmen";"2003";"108198"
"Enkhuizen";"2003";"17117"
"Enschede";"2003";"152321"
"Epe";"2003";"33233"
"Ermelo";"2003";"26755"
"Etten-Leur";"2003";"39352"
"Ferwerderadiel";"2003";"8953"
"Franekeradeel";"2003";"20955"
"Gaasterlân-Sleat";"2003";"10263"
"Geertruidenberg";"2003";"20939"
"Geldermalsen";"2003";"25600"
"Geldrop";"2003";"27944"
"Gemert-Bakel";"2003";"27816"
"Gendringen";"2003";"20976"
"Gennep";"2003";"16867"
"Giessenlanden";"2003";"14341"
"Gilze en Rijen";"2003";"24894"
"Goedereede";"2003";"11491"
"Goes";"2003";"36251"
"Goirle";"2003";"22510"
"Gorinchem";"2003";"34509"
"Gorssel";"2003";"13365"
"Gouda";"2003";"71641"
"Graafstroom";"2003";"9669"
"Graft-De Rijp";"2003";"6345"
"Grave";"2003";"12723"
"'s-Gravendeel";"2003";"8902"
"'s-Gravenhage (gemeente)";"2003";"463826"
"'s-Gravenzande";"2003";"19474"
"Groenlo";"2003";"9565"
"Groesbeek";"2003";"18939"
"Groningen (gemeente)";"2003";"177172"
"Grootegast";"2003";"12277"
"Gulpen-Wittem";"2003";"15340"
"Haaksbergen";"2003";"24109"
"Haaren";"2003";"14043"
"Haarlem";"2003";"147097"
"Haarlemmerliede en Spaarnwoude";"2003";"5533"
"Haarlemmermeer";"2003";"122902"
"Haelen";"2003";"10104"
"Halderberge";"2003";"29746"
"Hardenberg";"2003";"57731"
"Harderwijk";"2003";"40603"
"Hardinxveld-Giessendam";"2003";"17841"
"Haren";"2003";"19008"
"Harenkarspel";"2003";"15793"
"Harlingen";"2003";"15561"
"Hattem";"2003";"11688"
"Heel";"2003";"8375"
"Heemskerk";"2003";"36421"
"Heemstede";"2003";"25760"
"Heerde";"2003";"18270"
"Heerenveen";"2003";"42190"
"Heerhugowaard";"2003";"46898"
"Heerlen";"2003";"93969"
"Heeze-Leende";"2003";"15353"
"Heiloo";"2003";"22048"
"Helden";"2003";"19507"
"Den Helder";"2003";"60026"
"Hellendoorn";"2003";"36146"
"Hellevoetsluis";"2003";"39692"
"Helmond";"2003";"84233"
"Hendrik-Ido-Ambacht";"2003";"22096"
"Hengelo (Gld.)";"2003";"8501"
"Hengelo (O.)";"2003";"80962"
"'s-Hertogenbosch";"2003";"132501"
"Heumen";"2003";"16557"
"Heusden";"2003";"43161"
"Heythuysen";"2003";"12125"
"Hillegom";"2003";"20670"
"Hilvarenbeek";"2003";"14852"
"Hilversum";"2003";"83306"
"Hof van Twente";"2003";"35038"
"Hoogeveen";"2003";"53312"
"Hoogezand-Sappemeer";"2003";"33639"
"Hoorn";"2003";"67515"
"Horst aan de Maas";"2003";"28655"
"Houten";"2003";"41254"
"Huizen";"2003";"42125"
"Hulst";"2003";"27890"
"Hummelo en Keppel";"2003";"4498"
"Hunsel";"2003";"6207"
"IJsselstein";"2003";"33269"
"Jacobswoude";"2003";"10653"
"Kampen";"2003";"48919"
"Kapelle";"2003";"11568"
"Katwijk";"2003";"41535"
"Kerkrade";"2003";"50295"
"Kessel";"2003";"4182"
"Kesteren";"2003";"22257"
"Kollumerland en Nieuwkruisland";"2003";"13356"
"Korendijk";"2003";"10858"
"Krimpen aan den IJssel";"2003";"29075"
"Laarbeek";"2003";"21590"
"Landerd";"2003";"14704"
"Landgraaf";"2003";"40055"
"Landsmeer";"2003";"10352"
"Langedijk";"2003";"25009"
"Laren (NH.)";"2003";"11674"
"Leek";"2003";"19319"
"Leerdam";"2003";"21074"
"Leersum";"2003";"7453"
"Leeuwarden";"2003";"91284"
"Leeuwarderadeel";"2003";"10636"
"Leiden";"2003";"117689"
"Leiderdorp";"2003";"26402"
"Leidschendam-Voorburg";"2003";"73747"
"Lelystad";"2003";"68555"
"Lemsterland";"2003";"13241"
"Leusden";"2003";"28998"
"Lichtenvoorde";"2003";"19412"
"Liemeer";"2003";"6708"
"De Lier";"2003";"11375"
"Liesveld";"2003";"9681"
"Lingewaal";"2003";"10679"
"Lingewaard";"2003";"42467"
"Lisse";"2003";"22026"
